lane_stage,lane_id,source_path,candidate_id,route_key,route_role_final,rank,rank_percentile,pairwise_order_signature,previous_lane_rank_delta,calibrated_claim_allowed,p0_release_conclusion_changed,physical_solver_execution_authorized,seventh_bounded_solver_lane_execution_authorized,solver_output_generated,measured_data_ingest_authorized,calibration_data_ingest_authorized,new_mesh_generation_authorized,operator_export_generation_authorized,full_wave_solver_execution_authorized,vector_solver_execution_authorized,roughness_leakage_simulation_authorized,transport_residence_time_simulation_authorized,route_promotion_authorized,raw_magnitude_final_gate_allowed,solver_native_raw_magnitude_final_gate_allowed,bounded_lanes_sufficient_for_route_promotion,continue_mechanical_lanes_without_acceptance_criteria,future_authorization_phrase_already_received,p1_surrogate_risk_role_preserved,p2_readiness_scope_preserved,p3_pilot_design_scope_preserved,p4_dry_run_preflight_scope_preserved,p5_authorization_gate_scope_preserved,p6_minimal_execution_scope_preserved,p7_authorization_design_scope_preserved,p8_second_bounded_execution_scope_preserved,p9_authorization_design_scope_preserved,p10_third_bounded_execution_scope_preserved,p10_closure_scope_preserved,p11_authorization_design_scope_preserved,p12_fourth_bounded_execution_scope_preserved,p12_closure_scope_preserved,p13_authorization_design_scope_preserved,p14_fifth_bounded_execution_scope_preserved,p14_closure_scope_preserved,p15_authorization_design_scope_preserved,p16_sixth_bounded_execution_scope_preserved,p16_closure_scope_preserved,p17_authorization_design_scope_preserved,rank_instability_across_bounded_lanes_detected,p19_evidence_strategy_gate_required
P6,minimal_bounded_green_kernel_trace,results/post_v2_minimal_bounded_solver_execution/full_wave_green_tensor_minimal_solver_output.csv,main_660_W800_D1400,660/W800/D1400,relative_main_candidate,1,0.0,1_of_3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P6,minimal_bounded_green_kernel_trace,results/post_v2_minimal_bounded_solver_execution/full_wave_green_tensor_minimal_solver_output.csv,main_660_W800_D1500,660/W800/D1500,relative_main_candidate,2,0.5,2_of_3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P6,minimal_bounded_green_kernel_trace,results/post_v2_minimal_bounded_solver_execution/full_wave_green_tensor_minimal_solver_output.csv,probe_404_W600_D1300,404/W600/D1300,probe_only,3,1.0,3_of_3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P8,second_bounded_phase_gradient_trace,results/post_v2_second_bounded_solver_lane_execution/second_bounded_solver_lane_trace_output.csv,main_660_W800_D1400,660/W800/D1400,relative_main_candidate,1,0.0,1_of_3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P8,second_bounded_phase_gradient_trace,results/post_v2_second_bounded_solver_lane_execution/second_bounded_solver_lane_trace_output.csv,main_660_W800_D1500,660/W800/D1500,relative_main_candidate,2,0.5,2_of_3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P8,second_bounded_phase_gradient_trace,results/post_v2_second_bounded_solver_lane_execution/second_bounded_solver_lane_trace_output.csv,probe_404_W600_D1300,404/W600/D1300,probe_only,3,1.0,3_of_3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P10,third_bounded_curvature_balance_trace,results/post_v2_third_bounded_solver_lane_execution/third_bounded_solver_lane_trace_output.csv,main_660_W800_D1500,660/W800/D1500,relative_main_candidate,1,0.0,1_of_3,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P10,third_bounded_curvature_balance_trace,results/post_v2_third_bounded_solver_lane_execution/third_bounded_solver_lane_trace_output.csv,main_660_W800_D1400,660/W800/D1400,relative_main_candidate,2,0.5,2_of_3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P10,third_bounded_curvature_balance_trace,results/post_v2_third_bounded_solver_lane_execution/third_bounded_solver_lane_trace_output.csv,probe_404_W600_D1300,404/W600/D1300,probe_only,3,1.0,3_of_3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P12,fourth_bounded_resonance_compactness_trace,results/post_v2_fourth_bounded_solver_lane_execution/fourth_bounded_solver_lane_trace_output.csv,main_660_W800_D1500,660/W800/D1500,relative_main_candidate,1,0.0,1_of_3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
