hard_fail_code,source_package,validator_entrypoint,binding_status,fixture_execution_status,pytest_file,static_command,runtime_allowed,production_allowed,coverage_status
missing_angle_convention,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_requires_angle_convention,false,false,COVERED_STATIC_NO_RUNTIME
angle_conversion_mismatch,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_angle_conversion_mismatch,false,false,COVERED_STATIC_NO_RUNTIME
bare_W_top_runtime_binding,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_runtime_top_semantics_requires_runtime_aperture,false,false,COVERED_STATIC_NO_RUNTIME
silent_bottom_clip,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_cross_section_geometry.py,python -m pytest tests/test_cross_section_geometry.py -q -k test_trapezoid_formula_examples_preserve_unclipped_bottom_width,false,false,COVERED_STATIC_NO_RUNTIME
nonpositive_bottom_marked_open,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_open_status_for_nonpositive_bottom,false,false,COVERED_STATIC_NO_RUNTIME
missing_closure_policy,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_signature_closure_policy_mismatch,false,false,COVERED_STATIC_NO_RUNTIME
min_aperture_used_as_passability,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_min_aperture_passability_evidence,false,false,COVERED_STATIC_NO_RUNTIME
measured_geometry_without_profile,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_unbacked_measured_geometry_claim,false,false,COVERED_STATIC_NO_RUNTIME
source_hash_missing_for_comsol_context,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_requires_source_geometry_descriptor_sha,false,false,COVERED_STATIC_NO_RUNTIME
claim_boundary_missing,Package A,validate_geometry_descriptor_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k claim_boundary,false,false,COVERED_STATIC_NO_RUNTIME
trapezoid_runtime_without_geometry_primitive,Package B,tests/test_cross_section_geometry.py,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_requires_complete_geometry_fields,false,false,COVERED_STATIC_NO_RUNTIME
rectangular_sampler_under_trapezoid,Package B,tests/test_cross_section_geometry.py,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_rectangular_sampler_under_trapezoid,false,false,COVERED_STATIC_NO_RUNTIME
uniform_accessible_area_label_mismatch,Package B,tests/test_cross_section_geometry.py,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_cross_section_geometry.py,python -m pytest tests/test_cross_section_geometry.py -q -k test_trapezoid_uniform_sampler_stays_in_particle_center_support,false,false,COVERED_STATIC_NO_RUNTIME
sample_outside_center_support,Package B,tests/test_cross_section_geometry.py,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_cross_section_geometry.py,python -m pytest tests/test_cross_section_geometry.py -q -k test_trapezoid_trajectory_rejects_initial_point_outside_oracle_support,false,false,COVERED_STATIC_NO_RUNTIME
blocked_bin_has_response,Package B,validate_position_response_surface_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_blocked_bin_numeric_response,false,false,COVERED_STATIC_NO_RUNTIME
neighbor_fill_blocked_bin,Package B,validate_position_response_surface_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_blocked_bin_neighbor_fill,false,false,COVERED_STATIC_NO_RUNTIME
flux_weighted_without_trapezoid_flow_model,Package B,tests/test_cross_section_geometry.py,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_cross_section_geometry.py,python -m pytest tests/test_cross_section_geometry.py -q -k test_trapezoid_sampler_rejects_flux_weighted_without_flow_model,false,false,COVERED_STATIC_NO_RUNTIME
prs_without_geometry_basis,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_requires_complete_geometry_fields,false,false,COVERED_STATIC_NO_RUNTIME
prs_without_particle_radius_support,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_requires_large_tail_support_guard,false,false,COVERED_STATIC_NO_RUNTIME
edge4_to_edge20_direct_mapping,Package D,validate_position_response_surface_rows;validate_sidewall_package_d_precheck_rows,PASS_CALLABLE_STATIC_BINDING,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,tests/test_nodi_comsol_next_artifacts_contracts.py,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_edge4_to_edge20_direct_mapping,false,false,COVERED_STATIC_NO_RUNTIME
