field,positive_authorized_count,allowed_context,rc1_status
runtime_allowed,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
production_allowed,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
production_ingestion_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
runtime_configuration_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
qch_weighting_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
jrc_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
route_score_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
winner_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
yield_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
detection_probability_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
comsol_launch_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
mph_load_authorized,0,negative_fixture_or_blocked_use_mention_only,PASS_NO_POSITIVE_AUTHORIZATION
Gate2D accepted ledger row count,4,exactly four context-only rows,PASS_LOCKED
EDGE state,NOT_APPROVED_PREAUTH_ONLY,not approved preauth only,PASS_LOCKED
QCH state,ABSENT,formal sidecar absent,PASS_LOCKED
BINDING state,FAIL_CLOSED,fail closed,PASS_LOCKED
