cross_signoff_id,field_or_family,nodi_expectation,comsol_producer_status,responsibility,units_or_default,allowed_use,blocked_use,status,semantic_conflict
G15C-SCHEMA-001,geometry_profile_source,COMSOL must export source and hash if descriptor-derived,BILATERAL_EXACT_MATCH,NODI producer/receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-002,geometry_profile_sha256,COMSOL profile hash must match source descriptor hash for comsol_descriptor,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-003,source_geometry_descriptor_sha,hash bridge to descriptor identity,BILATERAL_EXACT_MATCH,both,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-004,runtime_top_aperture_nm,required with top_cd_bias metadata before runtime aperture can be referenced,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-005,top_cd_bias_nm,metadata only; no runtime promotion,BILATERAL_EXACT_MATCH,COMSOL optional producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-006,top_cd_bias_source,must be explicit source metadata,BILATERAL_EXACT_MATCH,COMSOL optional producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-007,measured_profile_lookup_status,blocked until loaded and validated,FUTURE_COMSOL_EXPORT_REQUIRED,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,FUTURE_COMSOL_EXPORT_REQUIRED,false
G15C-SCHEMA-008,measured_profile_path,path alone never proves measured geometry,BILATERAL_EXACT_MATCH,COMSOL future producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-009,measured_profile_sha256,must pair with loaded/validated flags,BILATERAL_EXACT_MATCH,COMSOL future producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-010,measured_profile_loaded,must be true for measured claim,FUTURE_COMSOL_EXPORT_REQUIRED,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,FUTURE_COMSOL_EXPORT_REQUIRED,false
G15C-SCHEMA-011,measured_profile_validated,must be true for measured claim,BILATERAL_EXACT_MATCH,NODI receiver,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
G15C-SCHEMA-012,particle_center_support_status,review-only sampler diagnostic,BILATERAL_EXACT_MATCH,NODI producer,see schema v3 source row,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics,BILATERAL_EXACT_MATCH,false
