receipt_id,path,actual_row_count,expected_row_count,actual_sha256,expected_sha256,receipt_status,producer_status,static_preflight_release_allowed
G17D-COMSOL-G15-001,roadmap/COMSOL_GATE15_STATUS_20260630.json,NA,NA,66bd7478c44b148813ea64b8fdfdaf1ee244ac379feccc0fcc4bbb4b1b5c5fc2,66bd7478c44b148813ea64b8fdfdaf1ee244ac379feccc0fcc4bbb4b1b5c5fc2,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-002,roadmap/COMSOL_GATE15_MANIFEST_20260630.csv,16,NOT_IN_MANIFEST,8b0aa9c290fcdc2135899cc37ee3dc064ceaed0a339fd98157006cfd02dbc302,NOT_IN_MANIFEST,READABLE_NOT_IN_MANIFEST_NON_BLOCKING,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-003,roadmap/COMSOL_GATE15_NODI_CLEAN_REINTAKE_20260630.csv,21,21,f3fc5115d25149cfcbcc1d5d701cdaadc650c52ace7eea6ae2e7bdfefdd2b509,f3fc5115d25149cfcbcc1d5d701cdaadc650c52ace7eea6ae2e7bdfefdd2b509,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-004,roadmap/COMSOL_GATE15_GATE14_STALE_INTAKE_CLOSURE_V2_20260630.csv,1,1,83195990e5e443510ec92397e27debeeb1e3aebfea1648d489e085f728370d19,83195990e5e443510ec92397e27debeeb1e3aebfea1648d489e085f728370d19,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-005,roadmap/COMSOL_GATE15_NODI_STATIC_PREFLIGHT_HANDOFF_20260630.csv,6,6,56cc9cc7f031b52c345e452f107b799e8c3b2558fd302eb92ca3edd2190b8587,56cc9cc7f031b52c345e452f107b799e8c3b2558fd302eb92ca3edd2190b8587,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-006,roadmap/COMSOL_GATE15_PRODUCER_PREFLIGHT_EXPORT_V4_20260630.csv,432,432,8a060f80b27ab4a8b934f55301a3045a71fea8968dafc147962fa719f8d6f9a7,8a060f80b27ab4a8b934f55301a3045a71fea8968dafc147962fa719f8d6f9a7,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-007,roadmap/COMSOL_GATE15_SOURCE_HASH_CLOSURE_LEDGER_20260630.csv,7,7,d4216e0d7751f578be677cb262b9a0416f2e0ca59b55457003eb47c8ef4ea8ab,d4216e0d7751f578be677cb262b9a0416f2e0ca59b55457003eb47c8ef4ea8ab,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-008,roadmap/COMSOL_GATE15_BINDING_BLOCKER_ROADMAP_V5_20260630.csv,30,30,8018614131beda97e0e1dca932b9c5d2a39eab5d3fe17735c66da641a54de116,8018614131beda97e0e1dca932b9c5d2a39eab5d3fe17735c66da641a54de116,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-009,roadmap/COMSOL_GATE15_NODI_PRODUCER_REQUEST_RESPONSE_20260630.csv,8,8,28272eee0e94074223aa25518e42d84811d435fe36dea3a95a13a71d00b2fab1,28272eee0e94074223aa25518e42d84811d435fe36dea3a95a13a71d00b2fab1,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
G17D-COMSOL-G15-010,roadmap/COMSOL_GATE15_MUTATION_RESULTS_20260630.csv,75000,75000,0a06490f44c49c5f6eb37df6cdd98708ead76e4461edb53db0c2c623183ff24a,0a06490f44c49c5f6eb37df6cdd98708ead76e4461edb53db0c2c623183ff24a,MATCH,PARTIAL_USEFUL_NO_RUN_PACKAGE_STILL_STALE_NODI_CONSUMPTION,false
