delta_id,commit,short_commit,subject,touched_files,guard_category,interface_impact,claim_risk,tests_required
G14A-DELTA-001,6df1a4a8aabcc29ef04badfe83e01def198b1265,6df1a4a,Add Gate14 sidewall implementation contract,reports/346_NODI_COMSOL_GATE14A_CURRENT_RELEASE_INTAKE_AND_POST_GATE13_DELTA_20260630.md;reports/347_NODI_COMSOL_GATE14B_IMPLEMENTATION_GUARD_RELEASE_LEDGER_20260630.md;reports/348_NODI_COMSOL_GATE14C_SIDEWALL_INTERFACE_CONTRACT_V3_SCHEMA_DELTA_20260630.md;reports/349_NODI_COMSOL_GATE14D_COMSOL_GATE13_RECEIPT_AND_STALE_INTAKE_CLOSURE_20260630.md;reports/350_NODI_COMSOL_GATE14E_RECEIVER_HARNESS_V3_COVERAGE_20260630.md;reports/351_NODI_COMSOL_GATE14F_COMSOL_GATE14_PRODUCER_REQUEST_V3_20260630.md;reports/352_NODI_COMSOL_GATE14G_PACKAGE_ABCD_READINESS_NO_GO_BOARD_20260630.md;reports/353_NODI_COMSOL_GATE14H_FORBIDDEN_ALIAS_SOURCE_DRIFT_MUTATION_EXPANSION_20260630.md;reports/354_NODI_COMSOL_GATE14I_IMPLEMENTATION_AUDIT_HARDENING_ADDENDUM_20260630.md;reports/355_NODI_COMSOL_GATE14J_TESTS_AND_REGRESSION_SWEEP_20260630.md;reports/356_NODI_COMSOL_GATE14K_NO_AUTH_AND_CLAIM_BOUNDARY_SWEEP_V4_20260630.md;reports/357_NODI_COMSOL_GATE14L_DECISION_DOSSIER_V4_20260630.md;reports/358_NODI_COMSOL_GATE14M_INDEPENDENT_SELF_REVIEW_20260630.md;reports/359_NODI_COMSOL_GATE14N_REPORTS_SIDECARS_AND_MANIFEST_20260630.md;reports/360_NODI_COMSOL_GATE14O_FINAL_HANDOFF_20260630.md;reports/joint_interface_20260630/NODI_COMSOL_GATE14_SIDEWALL_IMPLEMENTATION_CONTRACT_REPORT_20260630.md;tests/test_nodi_comsol_gate14_sidewall_implementation_contract.py;tools/audits/build_nodi_comsol_gate14_sidewall_implementation_contract.py,sidewall_implementation_guard_hardening,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-002,4cb4d1da6775689e2793180bd75f395ed1f038fb,4cb4d1d,Update profile identity signature audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-003,8d0fb872f86e764c6cb65d6213f87704ccaa8891,8d0fb87,Bind sidewall profile identity in signatures,nodi_simulator/nodi_comsol_next_artifacts.py;nodi_simulator/parameter_sweep.py;tests/test_cross_section_geometry.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-004,a9ab0c4e8ef3817ee3b3fcd630d3e3948d65f257,a9ab0c4,Update sidewall profile hash guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-005,eb0847644ec131da6f12eae92fa487ba48e822ed,eb08476,Bind sidewall profile hash to source descriptor,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,profile_signature_source_hash_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-006,61e0f7e9ab9d1c36eb02e2f799491f1d59b8430a,61e0f7e,Update blocked bin guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,blocked_bin_or_grain_precheck_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-007,d24d384be23981946ad67d2cfd2ab5f247533457,d24d384,Tighten sidewall blocked bin guards,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,blocked_bin_or_grain_precheck_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-008,eddd7cbc9f140d84f623fd0331264a8d3530a166,eddd7cb,Update rank alias guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-009,0c3f77d6df85c2efba919c7d0ce64804c29ad3af,0c3f77d,Block sidewall rank alias columns,nodi_simulator/nodi_comsol_next_artifacts.py;tests/test_nodi_comsol_next_artifacts_contracts.py,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
G14A-DELTA-010,7fc2bac0ff3ea3729190d35d2df51d6053d43362,7fc2bac,Update JRC chi alias guard audit,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md;reports/joint_interface_20260630/NODI_SIDEWALL_ANGLE_IMPLEMENTATION_GUARD_STATUS_20260630.csv,decision_alias_denylist_guard,additive_or_tightening_contract_guard,no_auth_guard_prevents_promotion,Gate14 focused;implementation audit regression;sidewall contract regressions
