rc3_delta_id,path,nodi_sha256,comsol_sha256,delta_status,blocking_mismatch,resolution
G2AC-DELTA-0001,full_chip/dwg_analysis/FULL_CHIP_PRE_EXPERIMENTAL_MODELING_COMPLETION_BRIEF_FOR_EXTERNAL_AI_REVIEW.md,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,ed96662d03c9b13d94330cd89760f75e3cce86930b16290c778297ca4f7436dc,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0002,full_chip/dwg_analysis/FULL_CHIP_REBUILD_AND_RECALCULATION_ROADMAP_STAGE116_PLUS.md,cf3ea7d58f5e271d04f83a9de506e1e433b8f3fd3d908d38786eaf3ab28da158,cf3ea7d58f5e271d04f83a9de506e1e433b8f3fd3d908d38786eaf3ab28da158,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0003,full_chip/dwg_analysis/FULL_CHIP_SIMULATION_ONLY_EXTREME_MODELING_COMPLETION_BRIEF.md,16734eb157f036b474fbc6e3bc2bed3090006ac5f1ac4df9b3ac7d7d5c7d475a,16734eb157f036b474fbc6e3bc2bed3090006ac5f1ac4df9b3ac7d7d5c7d475a,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0004,full_chip/dwg_analysis/FULL_CHIP_STAGE123_FROZEN_FLOW_TDS_REVIEW.md,8d49fcc80523578467579ef609d0ba74a59c08ad3f013ce845abf883638a4167,8d49fcc80523578467579ef609d0ba74a59c08ad3f013ce845abf883638a4167,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0005,full_chip/dwg_analysis/FULL_CHIP_STAGE12_EV_TRANSPORT_SURFACE_CLOGGING_REVIEW.md,7f6d1525c012d22e9774f44b160dd1d1cbee1dd4365dc93d0bd3f51a3f14096d,7f6d1525c012d22e9774f44b160dd1d1cbee1dd4365dc93d0bd3f51a3f14096d,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0006,full_chip/dwg_analysis/FULL_CHIP_STAGE139_TO_141_RISK_FIRST_SIMULATION_ROADMAP_AFTER_CLAUDE.md,cc925e2a50eb288e4974930e00ca404b203ba768e97514689801f8d26a8b2920,cc925e2a50eb288e4974930e00ca404b203ba768e97514689801f8d26a8b2920,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0007,full_chip/dwg_analysis/FULL_CHIP_STAGE13_SURFACE_AGGREGATION_CLOGGING_SENSITIVITY.md,a72abc7698ee43789a61297f0803694b76e2665e0a3d84fc85e48b0251cacc09,a72abc7698ee43789a61297f0803694b76e2665e0a3d84fc85e48b0251cacc09,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0008,full_chip/dwg_analysis/FULL_CHIP_STAGE143_CORRECTION_ROADMAP_AFTER_CLAUDE.md,10c27ac067c7899f3d3cd9a0cfb5f5c502529eac201afca8da0d2a2685f7d056,10c27ac067c7899f3d3cd9a0cfb5f5c502529eac201afca8da0d2a2685f7d056,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0009,full_chip/dwg_analysis/FULL_CHIP_STAGE147_CORRECTED_RISK_FIRST_MASTER_DOCUMENT.md,47c56a650415ae2bae2973300073561c41a669dcc73363cba3930809f5670424,47c56a650415ae2bae2973300073561c41a669dcc73363cba3930809f5670424,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0010,full_chip/dwg_analysis/FULL_CHIP_STAGE148_CORRECTED_SENSITIVITY_OVERLAY_REVIEW.md,e8bcce6370d071e66216c151ebf3b0a3a79fe7439dc27d62e9525d3cd4668724,e8bcce6370d071e66216c151ebf3b0a3a79fe7439dc27d62e9525d3cd4668724,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0011,full_chip/dwg_analysis/FULL_CHIP_STAGE149_COMPLETE_CORRECTED_SIMULATION_MASTER_DOCUMENT.md,9fad265a339e8d9ddc168df2768226aea9e63b4904c4057cd13adb91a1b686f1,9fad265a339e8d9ddc168df2768226aea9e63b4904c4057cd13adb91a1b686f1,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0012,full_chip/dwg_analysis/FULL_CHIP_STAGE154_SELECTED_SIMULATION_MASTER_DOCUMENT.md,d06e209aeaa157e1d2d7320d2e4579d8ec1aa1d3b09d0723aa305aaad14440c8,d06e209aeaa157e1d2d7320d2e4579d8ec1aa1d3b09d0723aa305aaad14440c8,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0013,full_chip/dwg_analysis/FULL_CHIP_STAGE157_TO_159_JOINT_UNCERTAINTY_ROADMAP_AFTER_CLAUDE.md,6a58c1d7d597f25c0943c9f97daa611101ff1c683090cdb6ec7bc942ae40f826,6a58c1d7d597f25c0943c9f97daa611101ff1c683090cdb6ec7bc942ae40f826,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0014,full_chip/dwg_analysis/FULL_CHIP_STAGE16_PARTIAL_FOULING_REVIEW.md,92a300b4fb94bdd361f968ca1866907aef8a4a92d9a8d64effa92a0f1c16aea3,92a300b4fb94bdd361f968ca1866907aef8a4a92d9a8d64effa92a0f1c16aea3,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0015,full_chip/dwg_analysis/FULL_CHIP_STAGE23_BIOPHYSICAL_PARAMETER_ENVELOPE.md,d0f6859578890d85ab065f8ee85f5ee284b42ea3c86e4b7068ac55d8861f7574,d0f6859578890d85ab065f8ee85f5ee284b42ea3c86e4b7068ac55d8861f7574,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0016,full_chip/dwg_analysis/FULL_CHIP_STAGE24_BIOLOGICAL_TDS_WALL_SINK_AUDIT.md,6ae8470ec550b1089fd74e4c4a5da0f0c06478a7b0ec1bd4a69ccde001aa9fbd,6ae8470ec550b1089fd74e4c4a5da0f0c06478a7b0ec1bd4a69ccde001aa9fbd,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0017,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_boundaryflux_sink0p001_20260605.md,5ac1d04449f9995814a1da89ddae76971789570cb7161edc707ca0d37cc1d4ab,5ac1d04449f9995814a1da89ddae76971789570cb7161edc707ca0d37cc1d4ab,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0018,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p001_20260605.md,0cbbc3663576b38f381e56eff95b252e9b0662ca7ad33cf75e83e18b3f268764,0cbbc3663576b38f381e56eff95b252e9b0662ca7ad33cf75e83e18b3f268764,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
G2AC-DELTA-0019,full_chip/dwg_analysis/FULL_CHIP_STAGE24_TDS_SIZEBIN_WALL_SINK_REVIEW_p0_gate_stage24_bin100_correctedkd_stage117_bonded_ports_sink0p01_20260605.md,915e23a8a8934155adce54a59752139f1624006c65942a749e8b1cc62ef9a46f,915e23a8a8934155adce54a59752139f1624006c65942a749e8b1cc62ef9a46f,MATCH,false,retain as dossier/fingerprint delta; no authorization effect
