receipt_requirement_id,comsol_artifact_id,source_path,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,manifest_match_status,validation_status,allowed_use,blocked_use
NODI-G2J-SOURCE-RECEIPT-001,G2H_SOURCE_G2G_MASTER,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MASTER_PACKET_20260628.md,aa0c9f1bf1540c53265ed6edca594a30617660906c231125c109989924b4d01b,aa0c9f1bf1540c53265ed6edca594a30617660906c231125c109989924b4d01b,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-002,G2H_SOURCE_G2G_COVERAGE,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,16,16,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-003,G2H_SOURCE_G2G_REQUIREMENTS,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_REQUIREMENTS_20260628.csv,5c985eda1d20f4da91892f5d50e06045e9f7614aef13845cc7c8c6b1a92b7b6e,5c985eda1d20f4da91892f5d50e06045e9f7614aef13845cc7c8c6b1a92b7b6e,8,8,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-004,G2H_SOURCE_G2G_MANIFEST,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MANIFEST_20260628.csv,716cc56051eff3a539f361a475d84837b829fe72c3fce168c5c46fa2699a20d2,716cc56051eff3a539f361a475d84837b829fe72c3fce168c5c46fa2699a20d2,20,20,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-005,G2H_SOURCE_G2F_CANDIDATE,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,16,16,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-006,G2H_SOURCE_G2F_SEMANTICS,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,4,4,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-007,G2H_NODI_REPORT_206_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/206_NODI_COMSOL_GATE2G_EDGE_EVIDENCE_RECEIPT_AND_POLICY_GAP_20260628.md,6fe841b02513a42603649cc39b2ed812561b9ad7196b610e0d2ad6e9e4e68867,6fe841b02513a42603649cc39b2ed812561b9ad7196b610e0d2ad6e9e4e68867,0,0,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-008,G2H_NODI_CONCORDANCE_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2G_EDGE_ROW_CONCORDANCE_VERDICT_20260628.csv,c69c902bdc0fcb8c266a426441f1cc64223344a27fff9471c0f4d77a4b1d3b7b,c69c902bdc0fcb8c266a426441f1cc64223344a27fff9471c0f4d77a4b1d3b7b,16,16,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-009,G2H_NODI_GAP_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2G_EDGE_LOSS_ERROR_POLICY_GAP_VERDICT_20260628.csv,323a498353619ad8acbb55fb3fab0a5391daeb323b341e7d22e4d514aa4db250,323a498353619ad8acbb55fb3fab0a5391daeb323b341e7d22e4d514aa4db250,8,8,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-010,G2H_NODI_SCHEMA_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2G_EDGE_REQUIRED_NEXT_EVIDENCE_SCHEMA_20260628.csv,f714e496027ef37336f95195e09422de98fcff9a301df0a951bdbbeb2cdf2928,f714e496027ef37336f95195e09422de98fcff9a301df0a951bdbbeb2cdf2928,10,10,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-SOURCE-RECEIPT-011,G2H_NODI_BLOCKERS_READONLY,C:/Users/Yan/Desktop/Yan/codex project/nodi_simulator（usb）/reports/joint_interface_20260628/NODI_COMSOL_GATE2G_BLOCKER_CARRY_FORWARD_20260628.csv,cb97a1fa6dfeabc700fd8aef1809d80267248e8c60df63a54f91514ce74b149d,cb97a1fa6dfeabc700fd8aef1809d80267248e8c60df63a54f91514ce74b149d,9,9,PASS,PARTIAL,source receipt for contract validator only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
