reconciliation_id,artifact_id,path,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,reconciliation_status,authorization_impact
NODI-G2N-MANIFEST-001,G2JKLM-MANIFEST-001,full_chip/dwg_analysis/build_gate2j_2k_2l_2m_nodi_submission_contracts_20260628.py,74496fd6a09867df710acab6a325c121f6ed29122d9897ac75733179de1f6ce1,74496fd6a09867df710acab6a325c121f6ed29122d9897ac75733179de1f6ce1,0,0,MATCH,none
NODI-G2N-MANIFEST-002,G2JKLM-MANIFEST-002,full_chip/dwg_analysis/validate_gate2j_gate2k_edge_submission_contract_20260628.py,54dd3de40a05a05355da12fbd5b0910f91f48f058def3b725274d8c1a9358921,54dd3de40a05a05355da12fbd5b0910f91f48f058def3b725274d8c1a9358921,0,0,MATCH,none
NODI-G2N-MANIFEST-003,G2JKLM-MANIFEST-003,full_chip/dwg_analysis/validate_gate2j_2k_2l_2m_nodi_submission_contracts_20260628.py,cdf52bb8936ba3ff11389f9f73e6f7cf6c6fe2c39ea6b2a1fb00ee82c8b7db1d,cdf52bb8936ba3ff11389f9f73e6f7cf6c6fe2c39ea6b2a1fb00ee82c8b7db1d,0,0,MATCH,none
NODI-G2N-MANIFEST-004,G2JKLM-MANIFEST-004,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_ASSIMILATION_MATRIX_20260628.csv,deffe7e61fe8dc731a5910db484f4695b65de6fdc750f37db652eea3ebd1757d,deffe7e61fe8dc731a5910db484f4695b65de6fdc750f37db652eea3ebd1757d,35,35,MATCH,none
NODI-G2N-MANIFEST-005,G2JKLM-MANIFEST-005,roadmap/COMSOL_GATE2J_EDGE_FIELD_RULE_FIXTURE_CROSSWALK_20260628.csv,7ed6c0eb7624b72e723081b8fc83ac05cb537a235c8747edfe2183550ae0e393,7ed6c0eb7624b72e723081b8fc83ac05cb537a235c8747edfe2183550ae0e393,51,51,MATCH,none
NODI-G2N-MANIFEST-006,G2JKLM-MANIFEST-006,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_GAP_REGISTER_20260628.csv,dbf26e11fda7e35bcc2b2c18f71d69acfd410e5c0edae397dce5ba34f237a891,dbf26e11fda7e35bcc2b2c18f71d69acfd410e5c0edae397dce5ba34f237a891,6,6,MATCH,none
NODI-G2N-MANIFEST-007,G2JKLM-MANIFEST-007,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_ASSIMILATION_PACKET_20260628.md,323514469785a99cc158fd13488a269453ffd480af9ca7b30a9e9f22b3185597,323514469785a99cc158fd13488a269453ffd480af9ca7b30a9e9f22b3185597,0,0,MATCH,none
NODI-G2N-MANIFEST-008,G2JKLM-MANIFEST-008,roadmap/COMSOL_GATE2J_EDGE_SUBMISSION_ADAPTER_SCHEMA_20260628.csv,10211885d3f6322a5e5780a2641d94edfad95f4325eb1b17b27b3be43b2be791,10211885d3f6322a5e5780a2641d94edfad95f4325eb1b17b27b3be43b2be791,47,47,MATCH,none
NODI-G2N-MANIFEST-009,G2JKLM-MANIFEST-009,roadmap/COMSOL_GATE2J_EDGE_SUBMISSION_ENVELOPE_REQUIREMENTS_20260628.csv,7c868f53289b05cdf46874987bc6bf7cfc19259abae567469b31341b53caeae9,7c868f53289b05cdf46874987bc6bf7cfc19259abae567469b31341b53caeae9,12,12,MATCH,none
NODI-G2N-MANIFEST-010,G2JKLM-MANIFEST-010,roadmap/COMSOL_GATE2J_EDGE_SOURCE_RECEIPT_BUNDLE_REQUIREMENTS_20260628.csv,76bf0c38a3269fa14e9c0f5e717b9845853d9736f0f2591efed613acccabed69,76bf0c38a3269fa14e9c0f5e717b9845853d9736f0f2591efed613acccabed69,8,8,MATCH,none
NODI-G2N-MANIFEST-011,G2JKLM-MANIFEST-011,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv,8d979bc39f506d83912ba829f898deed0b1f65425a32ca4326d233c8687ee081,8d979bc39f506d83912ba829f898deed0b1f65425a32ca4326d233c8687ee081,20,20,MATCH,none
NODI-G2N-MANIFEST-012,G2JKLM-MANIFEST-012,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_MANIFEST_TEMPLATE_V2_20260628.csv,db3b2e819c723b4391c1950193b9b0e353ee660e4d291dbf45911f7e4403fa46,db3b2e819c723b4391c1950193b9b0e353ee660e4d291dbf45911f7e4403fa46,12,12,MATCH,none
NODI-G2N-MANIFEST-013,G2JKLM-MANIFEST-013,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_VALIDATION_RULES_V2_20260628.csv,baabe968a80bfe872320f3d6920bddebb87c1e375e122b1bab7f5741c71e877c,baabe968a80bfe872320f3d6920bddebb87c1e375e122b1bab7f5741c71e877c,12,12,MATCH,none
NODI-G2N-MANIFEST-014,G2JKLM-MANIFEST-014,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_TEMPLATE_PACKET_20260628.md,64f68d53d5aef10cdbf77b389e54d29b9c42e3bd4540f901496db538269443b1,64f68d53d5aef10cdbf77b389e54d29b9c42e3bd4540f901496db538269443b1,0,0,MATCH,none
NODI-G2N-MANIFEST-015,G2JKLM-MANIFEST-015,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_NEGATIVE_FIXTURE_RESULTS_20260628.csv,cf5a7617a14fcbb6dd02655bc4d931730228304101c9ae7229cbc0865ee50d64,cf5a7617a14fcbb6dd02655bc4d931730228304101c9ae7229cbc0865ee50d64,11,11,MATCH,none
NODI-G2N-MANIFEST-016,G2JKLM-MANIFEST-016,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SYNTHETIC_POSITIVE_SCHEMA_RESULTS_20260628.csv,e39a42d2b654b5d66f6077e75b98df1040a68ed6e2bf2fcc580596af5af3dbbd,e39a42d2b654b5d66f6077e75b98df1040a68ed6e2bf2fcc580596af5af3dbbd,6,6,MATCH,none
NODI-G2N-MANIFEST-017,G2JKLM-MANIFEST-017,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_PACKAGE_CONTRACT_20260628.csv,10a5dee1c503cbe0a18ef0537897432513750202a1cb70b8535cbb5e26a2dfb8,10a5dee1c503cbe0a18ef0537897432513750202a1cb70b8535cbb5e26a2dfb8,27,27,MATCH,none
NODI-G2N-MANIFEST-018,G2JKLM-MANIFEST-018,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_TEMPLATE_V2_20260628.csv,d1d428ffe02b14165377ca99825fe2b7d3e054ba73ef5a19cf82ef55922a3c45,d1d428ffe02b14165377ca99825fe2b7d3e054ba73ef5a19cf82ef55922a3c45,4,4,MATCH,none
NODI-G2N-MANIFEST-019,G2JKLM-MANIFEST-019,roadmap/COMSOL_GATE2L_QCH_NEGATIVE_FIXTURES_20260628.csv,f040fa1b95e76f47971de3db05ab705a5d0f3fb7af7d25538a9c338e44cc4bcc,f040fa1b95e76f47971de3db05ab705a5d0f3fb7af7d25538a9c338e44cc4bcc,9,9,MATCH,none
NODI-G2N-MANIFEST-020,G2JKLM-MANIFEST-020,roadmap/COMSOL_GATE2L_QCH_PACKAGE_CONTRACT_PACKET_20260628.md,5a6741af4773a133121fbc048e2f5dd0b5b9df3e7beffcca0e3637056ce558dc,5a6741af4773a133121fbc048e2f5dd0b5b9df3e7beffcca0e3637056ce558dc,0,0,MATCH,none
NODI-G2N-MANIFEST-021,G2JKLM-MANIFEST-021,roadmap/COMSOL_GATE2L_BINDING_REPAIR_PACKAGE_CONTRACT_20260628.csv,a3484210e27c3663b94b4873b7c3601f30117c3ebf4d2d812620c8c19864397c,a3484210e27c3663b94b4873b7c3601f30117c3ebf4d2d812620c8c19864397c,4,4,MATCH,none
NODI-G2N-MANIFEST-022,G2JKLM-MANIFEST-022,roadmap/COMSOL_GATE2L_BINDING_REPAIR_TEMPLATE_V2_20260628.csv,87600a4ebdc2b382fb92643126bc56eba907dfd69b1cfafa0ed5776548fbdc19,87600a4ebdc2b382fb92643126bc56eba907dfd69b1cfafa0ed5776548fbdc19,4,4,MATCH,none
NODI-G2N-MANIFEST-023,G2JKLM-MANIFEST-023,roadmap/COMSOL_GATE2L_BINDING_NEGATIVE_FIXTURES_20260628.csv,724ccd179b0c86114a74d115fd2bff7837efbcf77081e8b7f7f435693ea5d18c,724ccd179b0c86114a74d115fd2bff7837efbcf77081e8b7f7f435693ea5d18c,7,7,MATCH,none
NODI-G2N-MANIFEST-024,G2JKLM-MANIFEST-024,roadmap/COMSOL_GATE2L_BINDING_PACKAGE_CONTRACT_PACKET_20260628.md,3393a0dfcb025ad037e9820067f9d9bd21c9fa09aa7c625a21d992c5a3c18ae4,3393a0dfcb025ad037e9820067f9d9bd21c9fa09aa7c625a21d992c5a3c18ae4,0,0,MATCH,none
NODI-G2N-MANIFEST-025,G2JKLM-MANIFEST-025,roadmap/COMSOL_GATE2M_INTEGRATED_NODI_SUBMISSION_PACKAGE_INDEX_20260628.csv,ce968bca8c5fb09e37fd9cef2274efd8d2736451d79aa57d311a72efccb8180f,ce968bca8c5fb09e37fd9cef2274efd8d2736451d79aa57d311a72efccb8180f,6,6,MATCH,none
NODI-G2N-MANIFEST-026,G2JKLM-MANIFEST-026,roadmap/COMSOL_GATE2M_INTEGRATED_WORKSTREAM_DASHBOARD_20260628.csv,8e3a48f1e3f684156cb7147ea0bf813d0d7b5dc91db683ffe41dad4337a2401e,8e3a48f1e3f684156cb7147ea0bf813d0d7b5dc91db683ffe41dad4337a2401e,6,6,MATCH,none
NODI-G2N-MANIFEST-027,G2JKLM-MANIFEST-027,roadmap/COMSOL_GATE2M_NEXT_NODI_REVIEW_REQUESTS_20260628.csv,664b667f8faff9e83f2069b2bb14b669e07450cc8bdefe5163bfa1d15e2f1a1e,664b667f8faff9e83f2069b2bb14b669e07450cc8bdefe5163bfa1d15e2f1a1e,5,5,MATCH,none
NODI-G2N-MANIFEST-028,G2JKLM-MANIFEST-028,roadmap/COMSOL_GATE2M_NO_AUTHORIZATION_GUARDRAIL_REGISTER_20260628.csv,d33906603eeeab592521f9d0bbc690bc432d1cc6542a3ca9245dd84b84893650,d33906603eeeab592521f9d0bbc690bc432d1cc6542a3ca9245dd84b84893650,12,12,MATCH,none
NODI-G2N-MANIFEST-029,G2JKLM-MANIFEST-029,roadmap/COMSOL_GATE2M_INTEGRATED_PACKAGE_PACKET_20260628.md,a9b7ee25168b54662262e77aa53938caeada90aa15aeb49958b11dbc4a365714,a9b7ee25168b54662262e77aa53938caeada90aa15aeb49958b11dbc4a365714,0,0,MATCH,none
NODI-G2N-MANIFEST-030,G2JKLM-MANIFEST-030,roadmap/COMSOL_GATE2J_2K_2L_2M_NODI_SUBMISSION_CONTRACT_MASTER_PACKET_20260628.md,356c7a8c684756cb7797795949d106675616ec28f91255d5ae1ff33fe6102d29,356c7a8c684756cb7797795949d106675616ec28f91255d5ae1ff33fe6102d29,0,0,MATCH,none
