mutation_id,mutation_family,property_family,mutation_name,mutated_value,property_issue,expected_result,expected_fail_reason,not_evidence,authorization_flags_false
G2AA-MUT-0001,authorization_true,authorization_true,formula_use_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0002,authorization_true,authorization_true,direct_prs_bin_use_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0003,authorization_true,authorization_true,grain_level_ingestion_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0004,authorization_true,authorization_true,accepted_row_expansion_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0005,authorization_true,authorization_true,qch_weighting_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0006,authorization_true,authorization_true,jrc_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0007,authorization_true,authorization_true,production_ingestion_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0008,authorization_true,authorization_true,runtime_configuration_authorized,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0009,binding,binding,220_auto_map_true,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0010,binding,binding,D1200_borrow_D900,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0011,binding,binding,missing_NODI_view,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0012,binding,binding,route_alias_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0013,binding,binding,diameter_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0014,binding,binding,bin_basis_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0015,edge,edge,edge20_hash_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0016,edge,edge,non_contiguous_bins,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0017,edge,edge,missing_numeric_bound,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0018,edge,edge,units_missing,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0019,edge,edge,normalization_missing,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0020,edge,edge,edge20_id_invalid,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0021,edge,edge,edge4_group_inconsistent,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0022,qch,qch,formal_sidecar_falsely_true,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0023,qch,qch,missing_flow_split,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0024,qch,qch,q_ch_eta_present,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0025,qch,qch,units_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0026,qch,qch,normalization_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0027,qch,qch,source_solve_missing,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0028,provenance,provenance,missing_source_sha,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0029,provenance,provenance,row_count_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0030,provenance,provenance,manifest_mismatch,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0031,provenance,provenance,schema_version_unknown,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0032,evidence_semantics,evidence_semantics,template_only_false_on_synthetic,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0033,evidence_semantics,evidence_semantics,not_evidence_false_on_fixture,missing,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0034,evidence_semantics,evidence_semantics,policy_use_requested_true_without_evidence,true,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,false
G2AA-MUT-0035,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__220_auto_map_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0036,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__D1200_borrow_D900,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0037,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__missing_NODI_view,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0038,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__route_alias_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0039,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__diameter_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0040,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__bin_basis_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0041,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__edge20_hash_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0042,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__non_contiguous_bins,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0043,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__missing_numeric_bound,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0044,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__units_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0045,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__normalization_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0046,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__edge20_id_invalid,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0047,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__edge4_group_inconsistent,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0048,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__formal_sidecar_falsely_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0049,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__missing_flow_split,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0050,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__q_ch_eta_present,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0051,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__units_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0052,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__normalization_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0053,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__source_solve_missing,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0054,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__missing_source_sha,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0055,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__row_count_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0056,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__manifest_mismatch,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0057,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__schema_version_unknown,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0058,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__template_only_false_on_synthetic,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0059,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__not_evidence_false_on_fixture,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0060,pairwise_combined,pairwise_combined,formula_use_authorized__PLUS__policy_use_requested_true_without_evidence,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0061,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__220_auto_map_true,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
G2AA-MUT-0062,pairwise_combined,pairwise_combined,direct_prs_bin_use_authorized__PLUS__D1200_borrow_D900,combined,authorization or evidence contract violation,EXPECTED_FAIL,contract must fail closed,true,true
