manifest_repro_id,manifest_artifact_id,manifest_path,resolved_path,exists,manifest_sha256,actual_sha256,manifest_row_count,actual_row_count,sha_match,row_count_match,validation_status_summary,manifest_repro_status,allowed_use,blocked_use
NODI-G2H-MANIFEST-001,G2G_SOURCE_G2F_CANDIDATE,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,true,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-002,G2G_SOURCE_G2F_SEMANTICS,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,true,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,4,4,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-003,G2G_SOURCE_G2F_EXCLUSIONS,roadmap/COMSOL_GATE2F_EDGE_EXCLUSIONS_CARRY_FORWARD_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_EXCLUSIONS_CARRY_FORWARD_20260628.csv,true,181b38b507ca7d8f71a33bf7abe7a46245c573d60f8b80fd92080ba81c6d5225,181b38b507ca7d8f71a33bf7abe7a46245c573d60f8b80fd92080ba81c6d5225,6,6,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-004,G2G_SOURCE_G2F_VALIDATION,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_VALIDATION_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_VALIDATION_20260628.csv,true,70a339d27106bcd3b69c785e2d39d7ba63d10a5283fd27692a5e0a5aea5e26a3,70a339d27106bcd3b69c785e2d39d7ba63d10a5283fd27692a5e0a5aea5e26a3,12,12,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-005,G2G_SOURCE_G2F_MANIFEST,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MANIFEST_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MANIFEST_20260628.csv,true,bfbc6cf06f45466369806b007879d80ffee8698fb5cff77a3f039e0b7e3903ef,bfbc6cf06f45466369806b007879d80ffee8698fb5cff77a3f039e0b7e3903ef,13,13,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-006,G2G_NODI_REPORT_205_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\205_NODI_COMSOL_GATE2F_EDGE_REVIEW_ONLY_POLICY_PREFLIGHT_20260628.md,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\205_NODI_COMSOL_GATE2F_EDGE_REVIEW_ONLY_POLICY_PREFLIGHT_20260628.md,true,25154f85e7741782745894587cdfdc1c0c14f73ca1ab17d77d70c59926babd11,25154f85e7741782745894587cdfdc1c0c14f73ca1ab17d77d70c59926babd11,0,0,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-007,G2G_NODI_GROUPING_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE4_EDGE20_GROUPING_CANDIDATE_PREFLIGHT_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE4_EDGE20_GROUPING_CANDIDATE_PREFLIGHT_20260628.csv,true,218d3da461c60c62de099c78404c2a8076ed8c94aaf95ecec50294fa543ebdda,218d3da461c60c62de099c78404c2a8076ed8c94aaf95ecec50294fa543ebdda,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-008,G2G_NODI_ROW_VERDICT_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE4_EDGE20_ROW_VERDICT_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE4_EDGE20_ROW_VERDICT_20260628.csv,true,0edb261ce0330cb5927956151ac58254651ad22ec36c73f0694040e7389dbcb4,0edb261ce0330cb5927956151ac58254651ad22ec36c73f0694040e7389dbcb4,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-009,G2G_NODI_CHECKLIST_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CHECKLIST_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CHECKLIST_20260628.csv,true,b5717ab23a02a65112bd9c77a7904efb14d19691d1447e5eb151355477f56162,b5717ab23a02a65112bd9c77a7904efb14d19691d1447e5eb151355477f56162,8,8,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-010,G2G_NODI_DASHBOARD_READONLY,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE_RECEIVER_DASHBOARD_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\nodi_simulator（usb）\reports\joint_interface_20260628\NODI_COMSOL_GATE2F_EDGE_RECEIVER_DASHBOARD_20260628.csv,true,92b88f947dd5d578711aa9161290d2d624e469681c19e949eaf90bc27d7b0c20,92b88f947dd5d578711aa9161290d2d624e469681c19e949eaf90bc27d7b0c20,3,3,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
NODI-G2H-MANIFEST-011,G2G_STRUCTURAL_COVERAGE_PROOF,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,true,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,16,16,true,true,BLOCKED_AS_EXPECTED;PASS;PASS_BLOCKED_AS_EXPECTED,PASS_MANIFEST_REPRODUCED,manifest reproducibility audit only,policy approval; formula use; accepted row expansion
