coverage_verdict_id,route_key,diameter_nm,NODI_view,comsol_support_view_binding,comsol_view_binding_status,source_row_type,bin_basis,aggregate_proxy_status,edge4_bin_proxy_status,prs_edge20_status,exact_grain_present,eas_route_view_present,matched_prs_row_count,coverage_verdict,decision_use_allowed,review_only,prs_artifact,prs_sha256,evidence_hash,can_enter_weighting,can_enter_jrc,is_chi_selected,is_production_ingestion,is_runtime_configuration,direct_prs_bin_compatible
PRS-001,660/W800/D1200,220,fixed_660_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-002,660/W800/D1200,220,per_wavelength_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-003,660/W800/D1200,220,fixed_660_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_bin,edge4_to_prs_edge20_proxy,not_aggregate_proxy,review_only_not_direct_prs_bin,direct_prs_edge20_not_approved,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-004,660/W800/D1200,220,per_wavelength_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_bin,edge4_to_prs_edge20_proxy,not_aggregate_proxy,review_only_not_direct_prs_bin,direct_prs_edge20_not_approved,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-005,660/W800/D1200,300,fixed_660_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_D1200_DIAMETER_VIEW_GRAIN_ABSENT,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-006,660/W800/D1200,300,per_wavelength_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_D1200_DIAMETER_VIEW_GRAIN_ABSENT,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-007,660/W800/D1200,300,fixed_660_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_bin,edge4_to_prs_edge20_proxy,not_aggregate_proxy,review_only_not_direct_prs_bin,direct_prs_edge20_not_approved,false,true,0,BLOCKED_D1200_DIAMETER_VIEW_GRAIN_ABSENT,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-008,660/W800/D1200,300,per_wavelength_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_bin,edge4_to_prs_edge20_proxy,not_aggregate_proxy,review_only_not_direct_prs_bin,direct_prs_edge20_not_approved,false,true,0,BLOCKED_D1200_DIAMETER_VIEW_GRAIN_ABSENT,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-009,660/W800/D900,220,fixed_660_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
PRS-010,660/W800/D900,220,per_wavelength_gold,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,COMSOL_PROXY_VIEW_BINDING_RECHECK_REQUIRED,proxy_aggregate,aggregate_proxy,artifact_level_only,not_edge4_bin_proxy,not_position_binned,false,true,0,BLOCKED_220NM_NO_DIRECT_PRS_MATCH,false,true,tmp/nodi_next_artifacts_production_generation_prs_route_view_expansion_20260618/NODI_POSITION_RESPONSE_SURFACE.csv,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,9ba83c84a563cd856b2fc624c523843a6e283206d5ac2e592a2b72607645f393,false,false,false,false,false,false
