row_concordance_id,source_edge_skeleton_row_id,route_key,NODI_view,diameter_nm,tpd_proxy_aggregation_basis,edge4_bin_label,nodi_edge20_definition_hash,edge20_bins_covered,row_verdict,policy_approval_status,direct_prs_bin_use_authorized,formula_use_authorized,grain_level_ingestion_authorized,accepted_row_expansion_authorized,required_next_gate
NODI-G2G-EDGE-CONCORD-001,G2E-EDGE-SKEL-001,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-002,G2E-EDGE-SKEL-002,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-003,G2E-EDGE-SKEL-003,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p50_0p75,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-004,G2E-EDGE-SKEL-004,660/W800/D900,fixed_660_gold,300,residence_time_weighted,edge_norm_0p75_1p00,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-005,G2E-EDGE-SKEL-005,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-006,G2E-EDGE-SKEL-006,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-007,G2E-EDGE-SKEL-007,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p50_0p75,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-008,G2E-EDGE-SKEL-008,660/W800/D900,fixed_660_gold,300,velocity_weighted,edge_norm_0p75_1p00,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-009,G2E-EDGE-SKEL-009,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p00_0p25,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
NODI-G2G-EDGE-CONCORD-010,G2E-EDGE-SKEL-010,660/W800/D900,per_wavelength_gold,300,residence_time_weighted,edge_norm_0p25_0p50,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,5,EDGE_REVIEW_ONLY_GROUPING_CONCORDANT_NOT_POLICY_APPROVED,NOT_APPROVED,false,false,false,false,Gate2H-EDGE-LOSS-ERROR-CLOSURE
