audit_id,audit_group,field_or_claim,checked_row_count,bad_row_count,audit_status,required_next_gate
FORBID-001,accepted_ledger_rows,grain_level_ingestion_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-002,accepted_ledger_rows,direct_prs_bin_use_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-003,accepted_ledger_rows,formula_use_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-004,accepted_ledger_rows,qch_weighting_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-005,accepted_ledger_rows,jrc_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-006,accepted_ledger_rows,chi_selected_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-007,accepted_ledger_rows,production_ingestion_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-008,accepted_ledger_rows,runtime_configuration_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-009,accepted_ledger_rows,can_enter_weighting,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-010,accepted_ledger_rows,can_enter_jrc,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-011,accepted_ledger_rows,is_chi_selected,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-012,accepted_ledger_rows,is_production_ingestion,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-013,accepted_ledger_rows,is_runtime_configuration,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-014,accepted_ledger_rows,decision_use_allowed,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-015,comsol_gate2d_candidate_rows,grain_level_ingestion_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-016,comsol_gate2d_candidate_rows,direct_prs_bin_use_authorized,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-017,comsol_gate2d_candidate_rows,formula_use_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-018,comsol_gate2d_candidate_rows,qch_weighting_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-019,comsol_gate2d_candidate_rows,jrc_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-020,comsol_gate2d_candidate_rows,chi_selected_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-021,comsol_gate2d_candidate_rows,production_ingestion_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-022,comsol_gate2d_candidate_rows,runtime_configuration_authorized,4,0,PASS_FALSE_OR_ABSENT,none
FORBID-023,comsol_gate2d_candidate_rows,can_enter_weighting,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-024,comsol_gate2d_candidate_rows,can_enter_jrc,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-025,comsol_gate2d_candidate_rows,is_chi_selected,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-026,comsol_gate2d_candidate_rows,is_production_ingestion,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-027,comsol_gate2d_candidate_rows,is_runtime_configuration,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-028,comsol_gate2d_candidate_rows,decision_use_allowed,0,0,PASS_FALSE_OR_ABSENT,none
FORBID-029,comsol_gate2d_validation,validation_status,13,0,PASS_NO_VALIDATION_FAILURES,none
FORBID-030,gate2d_scope,future_gate_boundary,4,0,PASS_GATE3_REQUIRED_BEFORE_WEIGHTING_OR_JRC,Gate3 explicit authorization before any weighting/JRC discussion
