sweep_id,source_group,forbidden_term,term_present,presence_interpretation,sweep_status
NODI-G2R-FORBID-0001,group_1,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0002,group_1,q_ch*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0003,group_1,q_ch*chi*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0004,group_1,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0005,group_1,route_score,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0006,group_1,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0007,group_1,yield,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0008,group_1,winner,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0009,group_1,detection_probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0010,group_1,wet pass probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0011,group_1,clogging rate,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0012,group_1,time-to-clog,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0013,group_1,recovery,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0014,group_1,fabrication release,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0015,group_1,runtime configuration,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0016,group_1,production ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0017,group_1,formula use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0018,group_1,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0019,group_1,grain-level ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0020,group_2,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0021,group_2,q_ch*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0022,group_2,q_ch*chi*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0023,group_2,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0024,group_2,route_score,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0025,group_2,JOINT_ROUTE_CLASS/JRC,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0026,group_2,yield,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0027,group_2,winner,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0028,group_2,detection_probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0029,group_2,wet pass probability,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0030,group_2,clogging rate,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0031,group_2,time-to-clog,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0032,group_2,recovery,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0033,group_2,fabrication release,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0034,group_2,runtime configuration,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0035,group_2,production ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0036,group_2,formula use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0037,group_2,direct PRS edge20 bin use,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0038,group_2,grain-level ingestion,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0039,group_3,q_ch weighting,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0040,group_3,q_ch*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0041,group_3,q_ch*chi*eta,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0042,group_3,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0043,group_3,route_score,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0044,group_3,JOINT_ROUTE_CLASS/JRC,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0045,group_3,yield,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0046,group_3,winner,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0047,group_3,detection_probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0048,group_3,wet pass probability,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0049,group_3,clogging rate,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0050,group_3,time-to-clog,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0051,group_3,recovery,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0052,group_3,fabrication release,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0053,group_3,runtime configuration,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0054,group_3,production ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0055,group_3,formula use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0056,group_3,direct PRS edge20 bin use,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0057,group_3,grain-level ingestion,false,absent,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0058,group_4,q_ch weighting,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0059,group_4,q_ch*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0060,group_4,q_ch*chi*eta,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0061,group_4,chi_selected,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0062,group_4,route_score,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0063,group_4,JOINT_ROUTE_CLASS/JRC,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0064,group_4,yield,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
NODI-G2R-FORBID-0065,group_4,winner,true,blocked_use_or_fixture_only,PASS_NO_AUTHORIZATION_USE
