row_verdict_id,source_edge_deliverable_row_id,route_key,NODI_view,diameter_nm,edge4_bin_label,candidate_edge20_group,nodi_edge20_definition_hash,receiver_row_verdict,edge4_policy_approved,edge4_row_accepted,accepted_row_expansion_authorized,direct_prs_bin_use_authorized,formula_use_authorized,grain_level_ingestion_authorized,blocked_use
NODI-G2F-EDGE-ROW-001,G2E-EDGE-SKEL-001,660/W800/D900,fixed_660_gold,300,edge_norm_0p00_0p25,edge_00|edge_01|edge_02|edge_03|edge_04,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-002,G2E-EDGE-SKEL-002,660/W800/D900,fixed_660_gold,300,edge_norm_0p25_0p50,edge_05|edge_06|edge_07|edge_08|edge_09,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-003,G2E-EDGE-SKEL-003,660/W800/D900,fixed_660_gold,300,edge_norm_0p50_0p75,edge_10|edge_11|edge_12|edge_13|edge_14,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-004,G2E-EDGE-SKEL-004,660/W800/D900,fixed_660_gold,300,edge_norm_0p75_1p00,edge_15|edge_16|edge_17|edge_18|edge_19,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-005,G2E-EDGE-SKEL-005,660/W800/D900,fixed_660_gold,300,edge_norm_0p00_0p25,edge_00|edge_01|edge_02|edge_03|edge_04,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-006,G2E-EDGE-SKEL-006,660/W800/D900,fixed_660_gold,300,edge_norm_0p25_0p50,edge_05|edge_06|edge_07|edge_08|edge_09,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-007,G2E-EDGE-SKEL-007,660/W800/D900,fixed_660_gold,300,edge_norm_0p50_0p75,edge_10|edge_11|edge_12|edge_13|edge_14,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-008,G2E-EDGE-SKEL-008,660/W800/D900,fixed_660_gold,300,edge_norm_0p75_1p00,edge_15|edge_16|edge_17|edge_18|edge_19,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-009,G2E-EDGE-SKEL-009,660/W800/D900,per_wavelength_gold,300,edge_norm_0p00_0p25,edge_00|edge_01|edge_02|edge_03|edge_04,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-010,G2E-EDGE-SKEL-010,660/W800/D900,per_wavelength_gold,300,edge_norm_0p25_0p50,edge_05|edge_06|edge_07|edge_08|edge_09,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-011,G2E-EDGE-SKEL-011,660/W800/D900,per_wavelength_gold,300,edge_norm_0p50_0p75,edge_10|edge_11|edge_12|edge_13|edge_14,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-012,G2E-EDGE-SKEL-012,660/W800/D900,per_wavelength_gold,300,edge_norm_0p75_1p00,edge_15|edge_16|edge_17|edge_18|edge_19,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-013,G2E-EDGE-SKEL-013,660/W800/D900,per_wavelength_gold,300,edge_norm_0p00_0p25,edge_00|edge_01|edge_02|edge_03|edge_04,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-014,G2E-EDGE-SKEL-014,660/W800/D900,per_wavelength_gold,300,edge_norm_0p25_0p50,edge_05|edge_06|edge_07|edge_08|edge_09,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-015,G2E-EDGE-SKEL-015,660/W800/D900,per_wavelength_gold,300,edge_norm_0p50_0p75,edge_10|edge_11|edge_12|edge_13|edge_14,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
NODI-G2F-EDGE-ROW-016,G2E-EDGE-SKEL-016,660/W800/D900,per_wavelength_gold,300,edge_norm_0p75_1p00,edge_15|edge_16|edge_17|edge_18|edge_19,b8b3358e7218e3ebc704c2c8dcaf2c9a0feb15283fa704610b39f8afc68d5ca3,REVIEW_ONLY_GROUPING_CANDIDATE_DERIVED,false,false,false,false,false,false,direct PRS bin use; formula; grain-level ingestion; weighting; JRC; accepted ledger expansion
