concordance_id,fixture_family,source_fixture_id,failure_mode,seen_in_nodi_fixture_family,comsol_expected_result,comsol_actual_result,nodi_expected_result,concordance_status,authorization_status
NODI-G2O-NEG-CONC-001,EDGE,G2K-EDGE-NEG-RESULT-001,missing_numeric_error_bound,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-002,EDGE,G2K-EDGE-NEG-RESULT-002,non_contiguous_edge20_group,false,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-003,EDGE,G2K-EDGE-NEG-RESULT-003,edge20_hash_mismatch,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-004,EDGE,G2K-EDGE-NEG-RESULT-004,d1200_borrows_d900,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-005,EDGE,G2K-EDGE-NEG-RESULT-005,220nm_auto_map,false,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-006,EDGE,G2K-EDGE-NEG-RESULT-006,formula_flag_true,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-007,EDGE,G2K-EDGE-NEG-RESULT-007,qch_weighting_flag_true,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-008,EDGE,G2K-EDGE-NEG-RESULT-008,direct_prs_bin_flag_true,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-009,EDGE,G2K-EDGE-NEG-RESULT-009,accepted_row_expansion_true,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-010,EDGE,G2K-EDGE-NEG-RESULT-010,missing_source_sha,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-011,EDGE,G2K-EDGE-NEG-RESULT-011,missing_units_normalization,true,FAIL_EXPECTED_NOT_APPROVED,FAIL_EXPECTED_NOT_APPROVED,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-012,QCH,G2L-QCH-NEG-001,missing_flow_split,true,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-013,QCH,G2L-QCH-NEG-002,missing_units,true,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-014,QCH,G2L-QCH-NEG-003,route_view_mismatch,true,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-015,QCH,G2L-QCH-NEG-004,diameter_bin_mismatch,false,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
NODI-G2O-NEG-CONC-016,QCH,G2L-QCH-NEG-005,q_ch_weighting_true,false,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,FAIL_EXPECTED_NOT_FORMAL_SIDECAR,EXPECTED_FAIL,PASS_EXPECTED_FAIL,ALL_FALSE
