guardrail_id,blocked_claim_or_field,current_authorization,hard_fail_if_present,applies_to_workstreams
NODI-G2M-GUARD-001,formula use,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-002,direct PRS edge20 bin use,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-003,grain-level ingestion,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-004,q_ch weighting,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-005,q_ch*eta,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-006,q_ch*chi*eta,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-007,chi_selected,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-008,route_score,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-009,JOINT_ROUTE_CLASS/JRC,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-010,yield,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-011,winner,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-012,detection_probability,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-013,wet pass probability,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-014,clogging rate,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-015,time-to-clog,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-016,recovery,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-017,fabrication release,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-018,production ingestion,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
NODI-G2M-GUARD-019,runtime configuration,false,true,EDGE|QCH|BINDING|LOCAL_Q|V4|STRONG_CLAIMS
