envelope_field_id,field_name,required,default_or_required_value,failure_status,allowed_use,blocked_use
NODI-G2J-IMPORT-ENV-001,source_manifest_path,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-002,source_manifest_sha256,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-003,source_manifest_row_count,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-004,source_package_schema_version,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-005,edge20_definition_hash,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-006,route_key,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-007,NODI_view,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-008,diameter_nm,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-009,bin_basis,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-010,source_artifact,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-IMPORT-ENV-011,source_sha256,true,required_non_missing,BLOCKED,receiver validator import envelope only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
