dossier_freeze_id,dossier_id,path,workstream,sha256,freeze_status,authorization_open
G2AC-FREEZE-0001,G2Z-DOSSIER-0001,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.md,EDGE,f9ab3319ca3f9e0e9a4a16dafa2d96812216d35570fef3b230742be5e5a1fbc9,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0002,G2Z-DOSSIER-0002,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,EDGE,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0003,G2Z-DOSSIER-0003,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,EDGE,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0004,G2Z-DOSSIER-0004,roadmap/COMSOL_GATE2G_EDGE_NODI_RECEIPT_SUPPORT_20260628.csv,EDGE,57996931a20e531ae621fda8d4928dae4ab83f0502116deb66d2876c85b8f024,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0005,G2Z-DOSSIER-0005,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,EDGE,287ea01ed8ec6368f677398b72f4e73332994157200b268b832b61df5443a984,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0006,G2Z-DOSSIER-0006,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_REVIEW_PACKET_20260628.md,EDGE,57ea0b3bfd3a11d614b757c41374a20dca568cd5a224ee2ee6d47c4aff5f6482,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0007,G2Z-DOSSIER-0007,roadmap/COMSOL_GATE2P_EDGE_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,EDGE,b8c8b183f21e387138e591fb835a40060d9d71dcb215e9b63721c7678cb33162,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0008,G2Z-DOSSIER-0008,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.csv,EDGE,e8e72720ad3f4102ff421d4a79c862e57cd3cbe6e4dcd90fe1033ae10b56296b,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0009,G2Z-DOSSIER-0009,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_PACKET_20260628.md,EDGE,d17329deef0eafc018d613b7db1894f75e783c14a77ea41a1e55452bc87e59cc,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0010,G2Z-DOSSIER-0010,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,EDGE,17350fecacb3b319817ff8fe9a7a777d6f0f4374b7330334b8ce18fe55bb67a1,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0011,G2Z-DOSSIER-0011,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_EVIDENCE_REQUIREMENTS_20260628.csv,EDGE,42f5c79ab8b5ab95856f4217d61d97642be764ab9a413c2d1c51f986197bd5be,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0012,G2Z-DOSSIER-0012,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv,EDGE,0bd6752fb6add30aa7fd322d4dc71d0496cf422736e91c7ba745ec920b9f4f8e,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0013,G2Z-DOSSIER-0013,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_PACKET_20260628.md,EDGE,6fdaa42431277041c07cb8f995f3adcf4205d239a92db814500d9f55bb88f8e9,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0014,G2Z-DOSSIER-0014,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_PACKET_20260628.md,EDGE,eedf051df2898821cc6b109b7ab8bd54ec546164da43d5dae294363948d9fee9,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0015,G2Z-DOSSIER-0015,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_REQUIREMENTS_20260628.csv,EDGE,5c985eda1d20f4da91892f5d50e06045e9f7614aef13845cc7c8c6b1a92b7b6e,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0016,G2Z-DOSSIER-0016,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_REQUIREMENTS_PACKET_20260628.md,EDGE,64b24b44778c9dc2f161be09df84ecc64af0512d1513a79cb04f6ae2e6c7ab21,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0017,G2Z-DOSSIER-0017,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_TEMPLATE_PACKET_20260628.md,EDGE,64f68d53d5aef10cdbf77b389e54d29b9c42e3bd4540f901496db538269443b1,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0018,G2Z-DOSSIER-0018,roadmap/NODI_LOCAL_MIRROR_AND_PRS_V1_1_CODE_UPGRADE_20260621.md,EDGE,1ad90dc983a4a02d7606ec8c2b7ea3f500955de6bf48e1ee4e6998ab58c382e1,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0019,G2Z-DOSSIER-0019,roadmap/NODI_PRS_W800_MINIBATCH_AUTH_CASES_20260621.csv,EDGE,a78646b835646241714d114ed4777188fe7197ff88aff9d5a822ef2849a3d756,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0020,G2Z-DOSSIER-0020,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_raw_bin_integrals.csv,EDGE,29a3803e77681811af0bf3cc9e8a66251041340bef6f72968d7bd65d18c4e37a,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0021,G2Z-DOSSIER-0021,roadmap/COMSOL_GATE2G_EDGE_BLOCKER_CARRY_FORWARD_20260628.csv,EDGE,9132ba874bfd6a172f52d6c7b15ac0f148174304dfd1f763a2daf130ebb7f39a,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
G2AC-FREEZE-0022,G2Z-DOSSIER-0022,roadmap/COMSOL_GATE2G_EDGE_POLICY_OPTION_MATRIX_20260628.csv,EDGE,a7f5e551a55863a6c4f7b2534a53e38d9a4ad7f65c020b0881525be886d46594,FROZEN_REVIEW_ONLY_NOT_EVIDENCE,false
