receipt_id,comsol_artifact_id,source_path,file_exists,source_sha256,source_row_count,manifest_sha256,manifest_row_count,validation_status,receipt_verdict,allowed_use,blocked_use
NODI-G2N-RECEIPT-001,G2JKLM-MANIFEST-001,full_chip/dwg_analysis/build_gate2j_2k_2l_2m_nodi_submission_contracts_20260628.py,true,74496fd6a09867df710acab6a325c121f6ed29122d9897ac75733179de1f6ce1,0,74496fd6a09867df710acab6a325c121f6ed29122d9897ac75733179de1f6ce1,0,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-002,G2JKLM-MANIFEST-002,full_chip/dwg_analysis/validate_gate2j_gate2k_edge_submission_contract_20260628.py,true,54dd3de40a05a05355da12fbd5b0910f91f48f058def3b725274d8c1a9358921,0,54dd3de40a05a05355da12fbd5b0910f91f48f058def3b725274d8c1a9358921,0,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-003,G2JKLM-MANIFEST-003,full_chip/dwg_analysis/validate_gate2j_2k_2l_2m_nodi_submission_contracts_20260628.py,true,cdf52bb8936ba3ff11389f9f73e6f7cf6c6fe2c39ea6b2a1fb00ee82c8b7db1d,0,cdf52bb8936ba3ff11389f9f73e6f7cf6c6fe2c39ea6b2a1fb00ee82c8b7db1d,0,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-004,G2JKLM-MANIFEST-004,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_ASSIMILATION_MATRIX_20260628.csv,true,deffe7e61fe8dc731a5910db484f4695b65de6fdc750f37db652eea3ebd1757d,35,deffe7e61fe8dc731a5910db484f4695b65de6fdc750f37db652eea3ebd1757d,35,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-005,G2JKLM-MANIFEST-005,roadmap/COMSOL_GATE2J_EDGE_FIELD_RULE_FIXTURE_CROSSWALK_20260628.csv,true,7ed6c0eb7624b72e723081b8fc83ac05cb537a235c8747edfe2183550ae0e393,51,7ed6c0eb7624b72e723081b8fc83ac05cb537a235c8747edfe2183550ae0e393,51,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-006,G2JKLM-MANIFEST-006,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_GAP_REGISTER_20260628.csv,true,dbf26e11fda7e35bcc2b2c18f71d69acfd410e5c0edae397dce5ba34f237a891,6,dbf26e11fda7e35bcc2b2c18f71d69acfd410e5c0edae397dce5ba34f237a891,6,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-007,G2JKLM-MANIFEST-007,roadmap/COMSOL_GATE2J_EDGE_NODI_CONTRACT_ASSIMILATION_PACKET_20260628.md,true,323514469785a99cc158fd13488a269453ffd480af9ca7b30a9e9f22b3185597,0,323514469785a99cc158fd13488a269453ffd480af9ca7b30a9e9f22b3185597,0,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-008,G2JKLM-MANIFEST-008,roadmap/COMSOL_GATE2J_EDGE_SUBMISSION_ADAPTER_SCHEMA_20260628.csv,true,10211885d3f6322a5e5780a2641d94edfad95f4325eb1b17b27b3be43b2be791,47,10211885d3f6322a5e5780a2641d94edfad95f4325eb1b17b27b3be43b2be791,47,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-009,G2JKLM-MANIFEST-009,roadmap/COMSOL_GATE2J_EDGE_SUBMISSION_ENVELOPE_REQUIREMENTS_20260628.csv,true,7c868f53289b05cdf46874987bc6bf7cfc19259abae567469b31341b53caeae9,12,7c868f53289b05cdf46874987bc6bf7cfc19259abae567469b31341b53caeae9,12,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-010,G2JKLM-MANIFEST-010,roadmap/COMSOL_GATE2J_EDGE_SOURCE_RECEIPT_BUNDLE_REQUIREMENTS_20260628.csv,true,76bf0c38a3269fa14e9c0f5e717b9845853d9736f0f2591efed613acccabed69,8,76bf0c38a3269fa14e9c0f5e717b9845853d9736f0f2591efed613acccabed69,8,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-011,G2JKLM-MANIFEST-011,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv,true,8d979bc39f506d83912ba829f898deed0b1f65425a32ca4326d233c8687ee081,20,8d979bc39f506d83912ba829f898deed0b1f65425a32ca4326d233c8687ee081,20,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-012,G2JKLM-MANIFEST-012,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_MANIFEST_TEMPLATE_V2_20260628.csv,true,db3b2e819c723b4391c1950193b9b0e353ee660e4d291dbf45911f7e4403fa46,12,db3b2e819c723b4391c1950193b9b0e353ee660e4d291dbf45911f7e4403fa46,12,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-013,G2JKLM-MANIFEST-013,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_VALIDATION_RULES_V2_20260628.csv,true,baabe968a80bfe872320f3d6920bddebb87c1e375e122b1bab7f5741c71e877c,12,baabe968a80bfe872320f3d6920bddebb87c1e375e122b1bab7f5741c71e877c,12,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2N-RECEIPT-014,G2JKLM-MANIFEST-014,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_TEMPLATE_PACKET_20260628.md,true,64f68d53d5aef10cdbf77b389e54d29b9c42e3bd4540f901496db538269443b1,0,64f68d53d5aef10cdbf77b389e54d29b9c42e3bd4540f901496db538269443b1,0,PARTIAL,RECEIVED_CONTRACT_OR_TEMPLATE_ONLY_NO_AUTHORIZATION,NODI receipt and round-trip dry-run only,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
