parent_child_map_id,parent_nodi_register_row_id,parent_source_artifact,parent_source_row_count,child_gate2b_context_row_id,child_source_artifact,child_source_row_identity,child_source_row_type,child_route_key,child_NODI_view,child_diameter_nm,child_bin_basis,child_tpd_bin_label,parent_ledger_acceptance_status,child_support_row_acceptance_status,grain_level_authorization,decision_use_allowed,can_enter_weighting,can_enter_jrc,is_chi_selected,is_production_ingestion,is_runtime_configuration
MAP-G2B_ALLOWED_CTX_001,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_001,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_220_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_002,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_002,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_220_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_003,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_003,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_220_per_wavelength_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_004,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_220_per_wavelength_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_005,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_005,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_300_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_006,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_006,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_300_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_007,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_007,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_300_per_wavelength_gold_residence_time_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_008,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_008,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D1200_A87_300_per_wavelength_gold_velocity_weighted,proxy_aggregate,660/W800/D1200,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,300,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_009,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_009,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D900_A85_220_fixed_660_gold_residence_time_weighted,proxy_aggregate,660/W800/D900,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
MAP-G2B_ALLOWED_CTX_010,G2CTX-CHI-AGG-004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,16,G2B_ALLOWED_CTX_010,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,CHI_CTX_AGG_660/W800/D900_A85_220_fixed_660_gold_velocity_weighted,proxy_aggregate,660/W800/D900,CANDIDATE_VIEW_DECLARED_BY_PROXY_SIDECAR_RECHECK_REQUIRED,220,aggregate_proxy,aggregate_proxy,PARENT_LEDGER_ACCEPTED_CONTEXT_ONLY,CHILD_SUPPORT_ROW_REGISTERED_ARTIFACT_LEVEL_ONLY,false,false,false,false,false,false,false
