field_id,field_name,workstreams,rc1_status,authorization_default,template_or_evidence_boundary,blocked_use
NODI-G2P-FIELD-RC1-001,NODI_view,EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-002,NODI_view_current,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-003,accepted_context_authorized,BINDING,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-004,accepted_row_expansion_authorized,EDGE,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-005,aggregation_rule,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-006,allowed_use,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-007,auto_map_authorized,BINDING,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-008,bin_basis,BINDING|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-009,binding_template_row_id,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-010,blocked_use,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-011,blocker_type,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-012,can_be_done_without_new_comsol_solve,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-013,chi_selected_authorized,QCH,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-014,conservativeness_metric,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-015,conservativeness_rule,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-016,current_blocker,BINDING,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-017,current_status,QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-018,diameter_nm,BINDING|EDGE|QCH,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-019,direct_prs_bin_use_authorized,EDGE,FROZEN_CONTRACT_FIELD,false,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-020,edge20_bin_id,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
NODI-G2P-FIELD-RC1-021,edge20_definition_hash,EDGE,FROZEN_CONTRACT_FIELD,not_applicable,template-only unless future evidence gate accepts it,q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; runtime configuration; production ingestion; formula use; direct PRS edge20 bin use; grain-level ingestion
