fingerprint_diff_id,path,nodi_schema_fingerprint,comsol_schema_fingerprint,diff_status,delta_class,authorization_impact
G2Y-FP-0001,full_chip/dwg_analysis/FULL_CHIP_STAGE143_CORRECTION_ROADMAP_AFTER_CLAUDE.md,525f902cb790f3c250788b15c25b9cdfd6271d6aed1d5073ad03975324683101,26ee7091fd8f96c2a54aed448709d35739ac0903c04352b2f502540201562f68,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
G2Y-FP-0002,full_chip/dwg_analysis/FULL_CHIP_STAGE157_TO_159_JOINT_UNCERTAINTY_ROADMAP_AFTER_CLAUDE.md,01f98ae817b8bbc26780647db50b9f55969d325f36845f149ec03d3284a37a3d,26ee7091fd8f96c2a54aed448709d35739ac0903c04352b2f502540201562f68,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
G2Y-FP-0003,full_chip/dwg_analysis/FULL_CHIP_STAGE44_TO_50_P2_TO_P10_REALISM_EXECUTION_SUMMARY.md,666304f9f66fe0e52a53836301f6e66821089de4c8279147a1ec58f1ebc816fb,d94977cecbaaed72d6897421e5e32a2bb50cc63b28d621d948299cdc4269bd7b,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
G2Y-FP-0004,full_chip/dwg_analysis/stage148_top_priority_cases.csv,cd39c21fdc4ad5878a011ed6aa3c4482d70bed71e44fabe68c1031db426fe531,cd39c21fdc4ad5878a011ed6aa3c4482d70bed71e44fabe68c1031db426fe531,MATCH,none,none
G2Y-FP-0005,full_chip/dwg_analysis/stage31_edge_failed_L10_nominal_3e9_per_ml_rescaled_summary.csv,67c517acca2b22a9efc34c71c29bdeb6ac1acedf92bf302a05a3a84512abde92,67c517acca2b22a9efc34c71c29bdeb6ac1acedf92bf302a05a3a84512abde92,MATCH,none,none
G2Y-FP-0006,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_001_W800_D900_A85_220NM_raw_bin_integrals.csv,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,MATCH,none,none
G2Y-FP-0007,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_001_W800_D900_A85_220NM_transported_position_distribution.csv,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,MATCH,none,none
G2Y-FP-0008,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_raw_bin_integrals.csv,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,MATCH,none,none
G2Y-FP-0009,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_transported_position_distribution.csv,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,MATCH,none,none
G2Y-FP-0010,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_003_W800_D1200_A87_220NM_raw_bin_integrals.csv,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,MATCH,none,none
G2Y-FP-0011,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_003_W800_D1200_A87_220NM_transported_position_distribution.csv,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,MATCH,none,none
G2Y-FP-0012,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_004_W800_D1200_A87_300NM_raw_bin_integrals.csv,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,MATCH,none,none
G2Y-FP-0013,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_004_W800_D1200_A87_300NM_transported_position_distribution.csv,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,d0d960e79036188319e8d22bcf517544b07a3aeeeaa5fcebce3eaf4539868de4,MATCH,none,none
G2Y-FP-0014,roadmap/154_NODI_COMSOL_launch_review_contract_handoff_20260617.md,85e28916a61f551c529511936a222d4618f2bdc4a80b40f7da4fdb687b3a7d45,23de699fae6a70f0b7d8d52393966209d76a9d7825a2135409b53ec24b08026d,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
G2Y-FP-0015,roadmap/155_NODI_COMSOL_report154_review_integration_overlay_20260617.md,d8827906efeb6ec92e86ad82067754509a1561c917f0bf625f32caacb9b39807,40290d8a163045a724835ef8a23953e1a47c2fdd7fec333aa17c65088f5b3bdd,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
G2Y-FP-0016,roadmap/AS_IS_TO_BE_STATUS.md,28a5fefcac997b63f714b0794595eb0690f0262cffe525eea7d918f331afa362,1a68ca39a096052b509674094b5ce09ae87e066ff88792de174bd839ee6bf52d,SCHEMA_FINGERPRINT_DIFF_REVIEW_ONLY,schema_fingerprint_difference,none
