fingerprint_id,schema_fingerprint,artifact_count,sample_paths
NODI-G2S-FP-0001,09f3b5981aff7c335bfda74cf77bf9dbf498efacdbf9dc71f80f05274e83b51f,1,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.csv
NODI-G2S-FP-0002,0f8502c8019a2262a152620a2aaa3949e27a09382a40f5536962dd4eb71b942f,1,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv
NODI-G2S-FP-0003,1024bc769ec2a16cd1041f394629fff9ecd146ed832dad8c88e12fcbada57b97,1,roadmap/COMSOL_GATE2C_QCH_FORMAL_SIDECAR_TEMPLATE_20260628.csv
NODI-G2S-FP-0004,12579ee84a7c0d8bcccf144c5beffdae1ea82c6215964c88d44aa86c77a46bd5,1,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv
NODI-G2S-FP-0005,1c2be9ac1e62225d22ff5d2654c6b692dd1f8ec923bfb27a56c382dd5452cf27,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_INPUT_RECEIPT_REVIEW_REQUEST_BINDINGS_20260628.csv
NODI-G2S-FP-0006,1e253665ca22ce8d9235c3eadf20408ad6fee3d5bbefc90863e654aa28241118,4,full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_001_W800_D900_A85_220NM_raw_bin_integrals.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_002_W800_D900_A85_300NM_raw_bin_integrals.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_003_W800_D1200_A87_220NM_raw_bin_integrals.csv|full_chip/dwg_analysis/transported_position_source_outputs_20260621/TPD_SRC_004_W800_D1200_A87_300NM_raw_bin_integrals.csv
NODI-G2S-FP-0007,1f363e700b2374adc95ae45e8c4353fe2097560e6bf4e4907d6033b62380687f,1,roadmap/COMSOL_GATE2G_EDGE_NODI_RECEIPT_SUPPORT_20260628.csv
NODI-G2S-FP-0008,206ff8289acd4695d4505580543dab9481c8eab8f231d42404e7a924a6045850,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_ASSUMPTION_SENSITIVITY_EXPANSION_TABLE_20260628.csv
NODI-G2S-FP-0009,2e4cf3269ac830103934b6d53961f0492e90290c7309f47733cdae97c6c80ef8,1,roadmap/COMSOL_GATE2P_EDGE_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv
NODI-G2S-FP-0010,3f9e202a1d1d85887be623b21189441354a716783c51f95aad3cf09538b86d05,1,roadmap/COMSOL_GATE2E_QCH_FORMAL_SIDECAR_MINIMAL_TEMPLATE_20260628.csv
NODI-G2S-FP-0011,4122bc6464d1f09daafd9b3e76e249d328b091ec0e5c1564183afef3f75215c2,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_FOCUSED_WATCH_SUBSET_TABLE_20260628.csv
NODI-G2S-FP-0012,48eeec276b60a713ed2ac84bbd14f4ea72744a11b9f65d988823c2348ac6cdf0,1,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_NEGATIVE_FIXTURES_20260628.csv
NODI-G2S-FP-0013,51f74061b24443d466c5504729aa48bdcda6972c586602e64ea3f8c3469289a4,1,roadmap/EV_PBS_V4_NORMAL_NANOCHANNEL_APERTURE_CHI_AGG_REVIEW_TABLE_20260628.csv
NODI-G2S-FP-0014,53a86f7426d3e34cd99010f8b546df43c1c3a515b63ebbb11c885d2c3630bdc7,1,roadmap/COMSOL_GATE2F_EDGE_LOSS_ERROR_SEMANTICS_CANDIDATE_20260628.csv
NODI-G2S-FP-0015,5e0870f7c04ba420446112a957da3ec8f5bc7b67ed99b0b5fd63e9baa5de2f51,1,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv
