source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
dimension_status_598,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_STATUS_20260702.json,true,c7bbe1cba9c67adae5acce6cf8bc1cb7b1bd2741cd262ccc0f2441c66cfce93f,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
dimension_route_rows_598,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_ROUTE_RECOMMENDATION_ROWS_20260702.csv,true,f364cb26239799717155b0ad47cd8cc6008f68009e1592057824e9f5e68c82fb,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
higher_event_status_599,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_STATUS_20260702.json,true,3daf2a2b20390b5cb10527703baec5ff499952a1ed3cac9fba8bb34ab5fcce91,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
higher_event_route_rows_599,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_ROUTE_SUMMARY_ROWS_20260702.csv,true,4bc092264cb7a5a901fe9875066998db25835dbb7bab4713bd2efce8b2c6624f,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
annulus_window_status_600,reports/joint_interface_20260703/NODI_SIDEWALL_CANDIDATE_ENVELOPE_ANNULUS_WINDOW_SWEEP_STATUS_20260703.json,true,604eec231f6295141e72ca0db1012b5fda2805b450316962df3189acd095e66c,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
annulus_window_route_rows_600,reports/joint_interface_20260703/NODI_SIDEWALL_CANDIDATE_ENVELOPE_ANNULUS_WINDOW_SWEEP_ROUTE_WINDOW_SUMMARY_ROWS_20260703.csv,true,c6e159bed6cea0469b30057a02e63fe9fab1d00a44c4f6def3a7ea86ccf2fdd4,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
annulus_followup_status_601,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_STATUS_20260703.json,true,a51bfdf2806ac1daff2eab7777b681b575990afaf4389345aeeb71a867fbe4d2,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
annulus_followup_route_rows_601,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_ROUTE_FOLLOWUP_ROWS_20260703.csv,true,37f934c98e5be6fa1e6029a93e39877b393fa56073b652b5705a14c51e8de676,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
three_question_closein_builder,tools/audits/build_nodi_sidewall_three_question_closein_synthesis.py,true,c9c88b6d6a07c1eaa734f7a7b744cde3b3d620548e5b2d5dd5cb87130d106b37,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
three_question_closein_tests,tests/test_nodi_sidewall_three_question_closein_synthesis.py,true,1b7512f2ced186b63186058b6dd275c061fd368f32f61250e59975690f002393,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
