synthesis_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,annulus_window_id,selected_annulus_edge_norm_min,selected_annulus_edge_norm_max,window_reference_context,planned_particle_diameter_count,planned_particle_diameter_grid_nm_json,recommended_n_events_per_route_diameter_window,planned_route_diameter_window_rows,planned_event_trials,mean_peak_height_delta_vs_canonical_context,mean_annulus_fraction_delta_vs_canonical_context,priority_context,simulation_intent,sparse_simulation_context_only
sidewall_three_question_closein_synthesis_v1,NEXT-404_W500_D1200-0p4_0p7,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,next_simulation_context_not_selection,0p4_0p7,0.4,0.7,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,-0.4153104309188584,0.0641025641025641,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W500_D1200-0p5_0p8,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,next_simulation_context_not_selection,0p5_0p8,0.5,0.8,canonical_reference_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.0,0.0,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W500_D1200-0p6_0p9,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,next_simulation_context_not_selection,0p6_0p9,0.6,0.9,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,-0.050283332025341666,0.20512820512820512,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W500_D900-0p5_0p8,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,next_simulation_context_not_selection,0p5_0p8,0.5,0.8,canonical_reference_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.0,0.0,canonical_reference_retained,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W500_D900-0p6_0p9,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,next_simulation_context_not_selection,0p6_0p9,0.6,0.9,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,-0.3424867641666657,0.11538461538461539,noncanonical_window_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W600_D900-0p4_0p7,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,next_simulation_context_not_selection,0p4_0p7,0.4,0.7,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.03012327048821582,-0.08974358974358974,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W600_D900-0p5_0p8,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,next_simulation_context_not_selection,0p5_0p8,0.5,0.8,canonical_reference_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.0,0.0,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-404_W600_D900-0p6_0p9,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,next_simulation_context_not_selection,0p6_0p9,0.6,0.9,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.5482776465373262,0.025641025641025637,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-660_W500_D1500-0p4_0p7,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,next_simulation_context_not_selection,0p4_0p7,0.4,0.7,noncanonical_followup_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,9.56589396410899e-05,-0.05128205128205129,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
sidewall_three_question_closein_synthesis_v1,NEXT-660_W500_D1500-0p5_0p8,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,three_question_closein_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,next_simulation_context_not_selection,0p5_0p8,0.5,0.8,canonical_reference_window,13,"[290, 260, 100, 230, 40, 300, 270, 240, 220, 150, 280, 250, 60]",16,13,208,0.0,0.0,full_inner_canonical_outer_closein,closein_dimension_annulus_response_joint_sweep,True
