synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,route_id_role,full_recompute_rows_observed,full_recompute_rows_executed,canonical_window_id,canonical_window_present,leading_mass_window_context,leading_mass_minus_canonical,leading_peak_contribution_window_context,leading_peak_contribution_minus_canonical,leading_snr_contribution_window_context,leading_snr_contribution_minus_canonical,annulus_context_after_full_recompute,interference_context_after_full_recompute,dimension_context_after_full_recompute,window_summary_json
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D1200-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p4_0p7,0.10035090778708233,0p4_0p7,42.04762767492795,0p4_0p7,76813.18774271687,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 120.19851460667229, ""snr_contribution"": 224350.48347258035}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 78.15088693174434, ""snr_contribution"": 147537.2957298635}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 51.25015851149587, ""snr_contribution"": 96947.44029378312}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D1200-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p4_0p7,0.05240118745802741,0p4_0p7,23.136210858585144,0p4_0p7,40472.63933349066,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 148.0904695756512, ""snr_contribution"": 276405.5543975561}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 124.95425871706607, ""snr_contribution"": 235932.91506406546}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 92.478008843005, ""snr_contribution"": 174924.05193702865}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D1200-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p5_0p8,0.0,0p4_0p7,0.10063908786355569,0p6_0p9,136.3579296725511,canonical_window_retained,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 127.61537283954587, ""snr_contribution"": 238188.7737513737}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.51473375168231, ""snr_contribution"": 240787.64360822827}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.38620506921067, ""snr_contribution"": 240924.00153790083}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D900-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,full_recompute_route_context_not_selection,26,26,0p5_0p8,True,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 76.29112105674568, ""snr_contribution"": 144259.02067733792}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 50.06613009377932, ""snr_contribution"": 92920.35145594481}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D900-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,full_recompute_route_context_not_selection,26,26,0p5_0p8,True,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 121.9741649075787, ""snr_contribution"": 230730.73863812658}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 90.33835047478948, ""snr_contribution"": 167658.29033680476}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W500_D900-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,full_recompute_route_context_not_selection,26,26,0p5_0p8,True,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.47008401537354, ""snr_contribution"": 235499.88851926944}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.43118520302643, ""snr_contribution"": 230917.77328720596}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W600_D900-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p4_0p7,0.10035090778708233,0p4_0p7,43.084936677573126,0p4_0p7,84066.23372728043,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 123.33860848211182, ""snr_contribution"": 235058.4886651834}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 80.2536718045387, ""snr_contribution"": 150992.25493790297}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 52.659027342514534, ""snr_contribution"": 104601.74040960832}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W600_D900-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p4_0p7,0.05240118745802741,0p4_0p7,23.641370570732846,0p4_0p7,48188.18425704702,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 151.96400180976315, ""snr_contribution"": 289604.89017405914}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 128.3226312390303, ""snr_contribution"": 241416.70591701212}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 95.0211116840977, ""snr_contribution"": 188752.92710029002}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-404_W600_D900-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p5_0p8,0.0,0p5_0p8,0.0,0p6_0p9,13652.497377618653,canonical_window_retained,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 130.95402718875053, ""snr_contribution"": 249564.0900487804}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 130.95546883200365, ""snr_contribution"": 246362.31267035147}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 130.89141608192583, ""snr_contribution"": 260014.81004797012}]"
sidewall_full_recompute_distribution_weighted_lock_v1,ROUTE-607-660_W500_D1500-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,full_recompute_route_context_not_selection,39,39,0p5_0p8,True,0p4_0p7,0.10035090778708233,0p4_0p7,119.95421086111523,0p4_0p7,179431.1470467843,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,candidate_envelope_width_context_retained_pending_next_width_sweep,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 343.4292344161687, ""snr_contribution"": 510281.7350219798}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 223.47502355505347, ""snr_contribution"": 330850.5879751955}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 146.69927402765472, ""snr_contribution"": 219235.66978372476}]"
