artifact_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_STATUS_20260703.json,true,1ea950602249691f907b5ec341a1e9f809098c610d7d432437b868e23fcda6c1,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_REPORT_20260703.json,true,2ae39cae4ab21a312a9ec101bd4d7f16c94b2d2ec163957b282b1889dac4c2b0,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_ROUTE_CLOSEIN_ROWS_20260703.csv,true,01d6291614a33f5e637c99d66d5f0456f5cf44a11ddebdb80397dc0a29133c71,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_QUESTION_ROWS_20260703.csv,true,200037d879203006e476ef1c39191b4f7d31338e5758c1434b1734eeacd2abaf,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_NEXT_SIMULATION_ROWS_20260703.csv,true,aad107f092ea445f345c964093c2f461dc3902763f70effe54fac50c49a499c3,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_SOURCE_LOCK_20260703.csv,true,14c637a5cb3220987fc80e51493e300fe0246d1278c5817f0f4d26614473781a,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_DIRTY_CONTEXT_20260703.csv,true,2e38c7382342a609ca4a2b6610046bdac8e8c3b39bb9884a9eb550af5c529c0d,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_VALIDATION_ROWS_20260703.csv,true,2e0f04a61f93538b75aab63464c6290f8042b42f1532cdcb5cf863d038302d19,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_FAILURES_20260703.csv,true,b4e7138d7854f7be1c99e051451992bade0041f63e6e99390fe454f472c622b9,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/602_NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703.md,true,69a19e57bfd1270d54031a6e3ccdc4323b3b9bf32037f7ddf60c8adfbeaa42ce,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_20260703,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_CLOSEIN_SYNTHESIS_MANIFEST_20260703.csv,true,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,"synthesize the sidewall-angle mainline answers for dimension changes, annulus-window changes, and interference-response changes before the next large NODI simulation block","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",three_question_closein_context_not_probability_not_selection
