synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_event_row_id,source_route_id_nodi,candidate_envelope_route_id_nodi,width_sweep_route_id_nodi,route_id_role,W_top_nm,candidate_envelope_W_top_nm,width_sweep_delta_vs_candidate_nm,width_context,annulus_window_id,diameter_nm,n_events_requested,n_events_observed,width_sweep_execution_status,weighting_mode,comsol_weight_profile_diameter_nm,window_probability_mass_surrogate,selected_annulus_fraction,weighted_selected_annulus_fraction_surrogate,mean_peak_height,mean_local_snr,weighted_peak_height_contribution,weighted_local_snr_contribution,weight_claim_level
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,40,12,12,executed_width_sweep_nodi,uniform_edge_mass,220,0.29999999999999993,0.08333333333333333,0.024999999999999994,0.17518247221429234,185.73862100205153,0.05255474166428769,55.72158630061545,uniform_surrogate
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,40,12,12,executed_width_sweep_nodi,comsol_outlet_flux_fraction,220,0.3038099961013544,0.08333333333333333,0.025317499675112865,0.17518247221429234,185.73862100205153,0.05322218620044978,56.42924972250422,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P40-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,40,12,12,executed_width_sweep_nodi,comsol_residence_fraction,220,0.35183815564763465,0.08333333333333333,0.029319846303969554,0.17518247221429234,185.73862100205153,0.06163587792566962,65.34993384589683,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,60,12,12,executed_width_sweep_nodi,uniform_edge_mass,220,0.29999999999999993,0.25,0.07499999999999998,1.4423849155450297,2588.0841822256457,0.4327154746635088,776.4252546676935,uniform_surrogate
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,60,12,12,executed_width_sweep_nodi,comsol_outlet_flux_fraction,220,0.3038099961013544,0.25,0.0759524990253386,1.4423849155450297,2588.0841822256457,0.43821095556838785,786.2858453119504,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P60-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,60,12,12,executed_width_sweep_nodi,comsol_residence_fraction,220,0.35183815564763465,0.25,0.08795953891190866,1.4423849155450297,2588.0841822256457,0.5074860484193325,910.586765335088,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,100,12,12,executed_width_sweep_nodi,uniform_edge_mass,220,0.29999999999999993,0.3333333333333333,0.09999999999999998,15.321620841982494,32286.024614643346,4.596486252594747,9685.807384393001,uniform_surrogate
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,100,12,12,executed_width_sweep_nodi,comsol_outlet_flux_fraction,220,0.3038099961013544,0.3333333333333333,0.10126999870045146,15.321620841982494,32286.024614643346,4.654861568269132,9808.817012303027,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P100-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,100,12,12,executed_width_sweep_nodi,comsol_residence_fraction,220,0.35183815564763465,0.3333333333333333,0.11727938521587822,15.321620841982494,32286.024614643346,5.39073081857548,11359.455353610248,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_distribution_weighted_width_sweep_v1,WEIGHTED-EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P150-N12-TH85-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,EXTW-404_W500_D1200-to-404_W687_D1200-A0p4_0p7-P150-N12-TH85,404/W500/D1200,404/W607/D1200,404/W687/D1200,width_sweep_weighted_context_not_selection,687,607,80,extension_anchor_width,0p4_0p7,150,12,12,executed_width_sweep_nodi,uniform_edge_mass,220,0.29999999999999993,0.25,0.07499999999999998,78.46958582516146,146831.00749869208,23.540875747548434,44049.302249607616,uniform_surrogate
