synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,stage_id,source_route_id_nodi,weighting_mode,candidate_envelope_route_id_nodi,source_W_nominal_nm,candidate_envelope_W_top_nm,W_top_nm,width_delta_vs_candidate_nm,width_context,weighted_event_rows,leading_mass_window_context,leading_peak_contribution_window_context,leading_snr_contribution_window_context,mean_weighted_peak_contribution,mean_weighted_local_snr_contribution,mean_weighted_selected_annulus_fraction
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_outlet_flux_fraction-W567,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_outlet_flux_fraction,404/W607/D1200,500,607,567,-40,below_current_candidate_width,39,0p4_0p7,0p4_0p7,0p4_0p7,81.16007207733226,155044.34640290457,0.07651267294796493
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_residence_fraction-W567,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_residence_fraction,404/W607/D1200,500,607,567,-40,below_current_candidate_width,39,0p4_0p7,0p4_0p7,0p4_0p7,118.86976776410962,226994.43523442958,0.11070833713421986
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-uniform_edge_mass-W567,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,uniform_edge_mass,404/W607/D1200,500,607,567,-40,below_current_candidate_width,39,0p5_0p8,0p5_0p8,0p5_0p8,124.41775531544353,237485.95945460754,0.11602564102564102
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_outlet_flux_fraction-W587,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_outlet_flux_fraction,404/W607/D1200,500,607,587,-20,below_current_candidate_width,39,0p4_0p7,0p4_0p7,0p4_0p7,82.27371220716806,154884.74987961844,0.07712133464318421
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_residence_fraction-W587,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_residence_fraction,404/W607/D1200,500,607,587,-20,below_current_candidate_width,39,0p4_0p7,0p4_0p7,0p4_0p7,120.5064636556395,227061.0183371869,0.11455591900780195
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-uniform_edge_mass-W587,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,uniform_edge_mass,404/W607/D1200,500,607,587,-20,below_current_candidate_width,39,0p5_0p8,0p5_0p8,0p6_0p9,126.13297131920308,238129.6334599673,0.12307692307692308
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_outlet_flux_fraction-W607,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_outlet_flux_fraction,404/W607/D1200,500,607,607,0,current_candidate_envelope_width,39,0p4_0p7,0p4_0p7,0p4_0p7,83.18850441230761,154829.37256332682,0.07855250914523461
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_residence_fraction-W607,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_residence_fraction,404/W607/D1200,500,607,607,0,current_candidate_envelope_width,39,0p4_0p7,0p4_0p7,0p4_0p7,121.84003954969387,226846.56538815354,0.11643539078689946
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-uniform_edge_mass-W607,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,uniform_edge_mass,404/W607/D1200,500,607,607,0,current_candidate_envelope_width,39,0p5_0p8,0p6_0p9,0p6_0p9,127.53265148334526,238111.16320496763,0.125
sidewall_monotonic_width_policy_v1,TRAJ-608_candidate_width_sweep-404_W500_D1200-comsol_outlet_flux_fraction-W627,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,608_candidate_width_sweep,404/W500/D1200,comsol_outlet_flux_fraction,404/W607/D1200,500,607,627,20,above_current_candidate_width,39,0p4_0p7,0p4_0p7,0p4_0p7,83.95719675448872,150441.25231450863,0.07681824492799125
