synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_particle_diameter_nm,annulus_window_id,window_edge_norm_min,window_edge_norm_max,weighting_mode,window_probability_mass_surrogate,weight_source,weight_claim_level,edge4_exact_annulus_mapping_status,probability_grid_available
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p4_0p7-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p4_0p7,0.4,0.7,uniform_edge_mass,0.29999999999999993,analytic_uniform_edge_mass,uniform_surrogate,not_comsol_edge4_source,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p4_0p7-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p4_0p7,0.4,0.7,comsol_outlet_flux_fraction,0.3038099961013544,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p4_0p7-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p4_0p7,0.4,0.7,comsol_residence_fraction,0.35183815564763465,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p5_0p8-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p5_0p8,0.5,0.8,uniform_edge_mass,0.30000000000000004,analytic_uniform_edge_mass,uniform_surrogate,not_comsol_edge4_source,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p5_0p8-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p5_0p8,0.5,0.8,comsol_outlet_flux_fraction,0.20018399239377516,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p5_0p8-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p5_0p8,0.5,0.8,comsol_residence_fraction,0.3029338449995144,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p6_0p9-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p6_0p9,0.6,0.9,uniform_edge_mass,0.30000000000000004,analytic_uniform_edge_mass,uniform_surrogate,not_comsol_edge4_source,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p6_0p9-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p6_0p9,0.6,0.9,comsol_outlet_flux_fraction,0.1311323357291012,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D220-0p6_0p9-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,220,0p6_0p9,0.6,0.9,comsol_residence_fraction,0.22983497845110407,comsol_v4_edge4_transport_descriptor,comsol_transport_bin_surrogate_not_exact_pxu,not_exact_0p5_0p8_annulus_mapping,False
sidewall_distribution_weighted_response_surface_v1,WINDOW-WEIGHT-D300-0p4_0p7-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,300,0p4_0p7,0.4,0.7,uniform_edge_mass,0.29999999999999993,analytic_uniform_edge_mass,uniform_surrogate,not_comsol_edge4_source,False
