detector_route_id,gauge_mode,seed,fixed_660_gold_selected_family_id_404,fixed_660_gold_selected_route_404,fixed_660_gold_selected_family_id_660,fixed_660_gold_selected_route_660,fixed_660_gold_winner_wavelength,fixed_660_gold_winner_family_id,fixed_660_gold_winner_route,per_wavelength_gold_selected_family_id_404,per_wavelength_gold_selected_route_404,per_wavelength_gold_selected_family_id_660,per_wavelength_gold_selected_route_660,per_wavelength_gold_winner_wavelength,per_wavelength_gold_winner_family_id,per_wavelength_gold_winner_route,detector_route_flip_flag_404_660,source_artifact_dir
A_hybrid,V1_gauge_locked,11,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
A_hybrid,V1_gauge_locked,22,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x900,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x900,660,lambda660_w800_middeep,660/800x900,True,results/audits/report148_stage1_ab_v1v2_20260611
A_hybrid,V1_gauge_locked,33,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
A_hybrid,V2_raw_angular_explicit_norm_sample,11,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
A_hybrid,V2_raw_angular_explicit_norm_sample,22,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x900,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x900,660,lambda660_w800_middeep,660/800x900,True,results/audits/report148_stage1_ab_v1v2_20260611
A_hybrid,V2_raw_angular_explicit_norm_sample,33,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
B_roi_intensity,V1_gauge_locked,11,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
B_roi_intensity,V1_gauge_locked,22,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
B_roi_intensity,V1_gauge_locked,33,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
B_roi_intensity,V2_raw_angular_explicit_norm_sample,11,lambda404_w500_middeep,404/500x700,lambda660_w800_middeep,660/800x1300,404,lambda404_w500_middeep,404/500x700,lambda404_w500_middeep,404/500x1300,lambda660_w800_middeep,660/800x1300,660,lambda660_w800_middeep,660/800x1300,True,results/audits/report148_stage1_ab_v1v2_20260611
