detector_route_id,readout_policy,gauge_mode,coverage_status,observed_seed_count,expected_seed_count,observed_seeds,normalization_views,gate_classification
A_hybrid,R1_signed_positive,V1_gauge_locked,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
A_hybrid,R1_signed_positive,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
A_hybrid,R2_absolute,V1_gauge_locked,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_primary_complete
A_hybrid,R2_absolute,V2_raw_angular_explicit_norm_sample,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_ab_v2_sample_complete
B_roi_intensity,R1_signed_positive,V1_gauge_locked,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
B_roi_intensity,R1_signed_positive,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
B_roi_intensity,R2_absolute,V1_gauge_locked,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_primary_complete
B_roi_intensity,R2_absolute,V2_raw_angular_explicit_norm_sample,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_ab_v2_sample_complete
C_collapsed_coherent,R1_signed_positive,V1_gauge_locked,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
C_collapsed_coherent,R1_signed_positive,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
C_collapsed_coherent,R2_absolute,V1_gauge_locked,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_primary_complete
C_collapsed_coherent,R2_absolute,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__cd_v2_ab_sampled
D_cross_only,R1_signed_positive,V1_gauge_locked,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
D_cross_only,R1_signed_positive,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__r1_assumed_untested
D_cross_only,R2_absolute,V1_gauge_locked,complete_3_seed,3,3,"11,22,33","fixed_660_gold,per_wavelength_gold",in_narrowed_gate_primary_complete
D_cross_only,R2_absolute,V2_raw_angular_explicit_norm_sample,missing,0,3,,,out_of_narrowed_gate__cd_v2_ab_sampled
