receipt_id,matrix_row_id,workstream,go_no_go_status,authorization_request_needed,current_authorization_open,current_execution_allowed
G4D-GNG-0001,G3D-GNG-001,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0002,G3D-GNG-002,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0003,G3D-GNG-003,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0004,G3D-GNG-004,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0005,G3D-GNG-005,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0006,G3D-GNG-006,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0007,G3D-GNG-007,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0008,G3D-GNG-008,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0009,G3D-GNG-009,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0010,G3D-GNG-010,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0011,G3D-GNG-011,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0012,G3D-GNG-012,EDGE,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0013,G3D-GNG-013,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0014,G3D-GNG-014,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0015,G3D-GNG-015,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0016,G3D-GNG-016,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0017,G3D-GNG-017,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0018,G3D-GNG-018,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0019,G3D-GNG-019,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0020,G3D-GNG-020,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0021,G3D-GNG-021,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0022,G3D-GNG-022,QCH,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0023,G3D-GNG-023,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0024,G3D-GNG-024,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0025,G3D-GNG-025,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0026,G3D-GNG-026,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0027,G3D-GNG-027,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0028,G3D-GNG-028,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0029,G3D-GNG-029,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0030,G3D-GNG-030,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0031,G3D-GNG-031,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0032,G3D-GNG-032,BINDING,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0033,G3D-GNG-033,REVIEW,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0034,G3D-GNG-034,REVIEW,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0035,G3D-GNG-035,REVIEW,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
G4D-GNG-0036,G3D-GNG-036,REVIEW,NO_GO_UNTIL_AUTHORIZED_AND_VALIDATED,true,false,false
