context_id,mutation_id,forbidden_context,classification_status
G3F-CTX-0001,G3F-MUT-0001,authorization_leak_fixture,PASS
G3F-CTX-0002,G3F-MUT-0002,authorization_leak_fixture,PASS
G3F-CTX-0003,G3F-MUT-0003,authorization_leak_fixture,PASS
G3F-CTX-0004,G3F-MUT-0004,authorization_leak_fixture,PASS
G3F-CTX-0005,G3F-MUT-0005,authorization_leak_fixture,PASS
G3F-CTX-0006,G3F-MUT-0006,authorization_leak_fixture,PASS
G3F-CTX-0007,G3F-MUT-0007,blocked_fixture_mention,PASS
G3F-CTX-0008,G3F-MUT-0008,authorization_leak_fixture,PASS
G3F-CTX-0009,G3F-MUT-0009,authorization_leak_fixture,PASS
G3F-CTX-0010,G3F-MUT-0010,authorization_leak_fixture,PASS
G3F-CTX-0011,G3F-MUT-0011,authorization_leak_fixture,PASS
G3F-CTX-0012,G3F-MUT-0012,authorization_leak_fixture,PASS
G3F-CTX-0013,G3F-MUT-0013,authorization_leak_fixture,PASS
G3F-CTX-0014,G3F-MUT-0014,authorization_leak_fixture,PASS
G3F-CTX-0015,G3F-MUT-0015,blocked_fixture_mention,PASS
G3F-CTX-0016,G3F-MUT-0016,authorization_leak_fixture,PASS
G3F-CTX-0017,G3F-MUT-0017,authorization_leak_fixture,PASS
G3F-CTX-0018,G3F-MUT-0018,authorization_leak_fixture,PASS
G3F-CTX-0019,G3F-MUT-0019,authorization_leak_fixture,PASS
G3F-CTX-0020,G3F-MUT-0020,authorization_leak_fixture,PASS
G3F-CTX-0021,G3F-MUT-0021,authorization_leak_fixture,PASS
G3F-CTX-0022,G3F-MUT-0022,authorization_leak_fixture,PASS
G3F-CTX-0023,G3F-MUT-0023,blocked_fixture_mention,PASS
G3F-CTX-0024,G3F-MUT-0024,authorization_leak_fixture,PASS
G3F-CTX-0025,G3F-MUT-0025,authorization_leak_fixture,PASS
G3F-CTX-0026,G3F-MUT-0026,authorization_leak_fixture,PASS
G3F-CTX-0027,G3F-MUT-0027,authorization_leak_fixture,PASS
G3F-CTX-0028,G3F-MUT-0028,authorization_leak_fixture,PASS
G3F-CTX-0029,G3F-MUT-0029,authorization_leak_fixture,PASS
G3F-CTX-0030,G3F-MUT-0030,authorization_leak_fixture,PASS
G3F-CTX-0031,G3F-MUT-0031,blocked_fixture_mention,PASS
G3F-CTX-0032,G3F-MUT-0032,authorization_leak_fixture,PASS
G3F-CTX-0033,G3F-MUT-0033,authorization_leak_fixture,PASS
