requirement_id,field_name,unit_or_type,requirement,missing_behavior,nodi_allowed_use,nodi_blocked_use,required_next_gate
G10F-REQ-001,geometry_descriptor_id,string,stable COMSOL-produced id,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-002,geometry_descriptor_sha256,sha256,hash over core descriptor fields,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-003,sidewall_angle_convention,enum,comsol_from_horizontal_nodi_taper_from_vertical_v1,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-004,sidewall_deg_comsol,deg,from substrate/horizontal; 90 vertical,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-005,sidewall_taper_angle_deg_nodi,deg,must equal 90-sidewall_deg_comsol,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-006,W_top_nm,nm,top channel width,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-007,depth_nm,nm,etched depth,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-008,W_bottom_unclipped_nm,nm,formula-preserved unclipped bottom width,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-009,W_bottom_runtime_clipped_nm,nm,"runtime guard value, not measured geometry",quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
G10F-REQ-010,closure_status,enum,open|near_closed|geometry_closed,quarantine_or_hard_fail_closed,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,Gate10_SIDEWALL_DESCRIPTOR_RECEIPT_REVIEW
