result_id,fixture_family,expected_result,observed_result,pass_fail,authorization_promotion
G10E-POS-001,positive_descriptor,PASS,PASS,PASS,false
G10E-POS-002,positive_descriptor,PASS,PASS,PASS,false
G10E-POS-003,positive_descriptor,PASS,PASS,PASS,false
G10E-POS-004,positive_descriptor,PASS,PASS,PASS,false
G10E-NEG-001,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-002,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-003,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-004,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-005,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-006,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-007,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-008,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-009,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-010,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-011,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-012,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-013,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-014,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-015,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
G10E-NEG-016,negative_sidewall_descriptor,FAIL,FAIL_AS_EXPECTED,PASS,false
