control_id,adapter_rule_id,input_state,expected_output_state,observed_output_state,accepted_or_authorized_after_adapter,negative_control_status
G5D-NEGCTRL-0001,G5D-NODI-GAP-0001,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0002,G5D-NODI-GAP-0002,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0003,G5D-NODI-GAP-0003,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0004,G5D-NODI-GAP-0004,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0005,G5D-NODI-GAP-0005,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0006,G5D-NODI-GAP-0006,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0007,G5D-NODI-GAP-0007,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0008,G5D-NODI-GAP-0008,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0009,G5D-NODI-GAP-0009,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0010,G5D-NODI-GAP-0010,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0011,G5D-NODI-GAP-0011,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0012,G5D-NODI-GAP-0012,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0013,G5D-NODI-GAP-0013,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0014,G5D-NODI-GAP-0014,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0015,G5D-NODI-GAP-0015,FAIL_CLOSED,FAIL_CLOSED,FAIL_CLOSED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0016,G5D-NODI-GAP-0016,blocked,blocked,blocked,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0017,G5D-NODI-GAP-0017,quarantine,quarantine,quarantine,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0018,G5D-NODI-GAP-0018,review-only,review-only,review-only,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0019,G5D-NODI-GAP-0019,NOT_APPROVED,NOT_APPROVED,NOT_APPROVED,false,PASS_NO_VERDICT_CHANGE
G5D-NEGCTRL-0020,G5D-NODI-GAP-0020,ABSENT,ABSENT,ABSENT,false,PASS_NO_VERDICT_CHANGE
