contract_field_id,field,field_class,semantics,requiredness,allowed_use,blocked_use,authorization_flag_must_be_false,review_only,runtime_or_production_contract
G13C-FIELD-001,sidewall_angle_convention,descriptor field,COMSOL substrate/horizontal degrees;90 vertical,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-002,sidewall_deg_comsol,descriptor field,theta from horizontal substrate,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-003,sidewall_taper_angle_deg_nodi,descriptor field,alpha=90-theta NODI taper convention,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-004,angle_conversion_formula_id,descriptor field,alpha_nodi_deg=90-sidewall_deg_comsol,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-005,W_top_nm,descriptor field,top width nanometers,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-006,D_nm,descriptor field,depth nanometers,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-007,W_bottom_unclipped_nm,descriptor field,W_top-2*D/tan(theta),required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-008,W_bottom_runtime_clipped_nm,runtime guard field,clipped diagnostic guard not measured geometry,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-009,closure_status,runtime guard field,open/near_closed/closed,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
G13C-FIELD-010,runtime_guard_status,runtime guard field,hard-fail/quarantine/review-only propagation state,required,review-only descriptor receipt;geometry guard convergence;sidewall addendum signoff readiness,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;true PRS/EAS sidewall numeric output,false,true,false
