inventory_id,file,field_or_function,unit,angle_convention,formula_or_default,validation_or_guard,impact_module,current_interface_freeze_status
G10A-INV-001,nodi_simulator/cross_section_geometry.py,comsol_sidewall_deg_to_nodi_taper_deg,deg,COMSOL horizontal 90 vertical to NODI vertical taper,nodi_taper=90-sidewall_deg_comsol,"ValueError outside (0,90]",descriptor vocabulary and code conversion,local implementation; not RC5.1 field
G10A-INV-002,nodi_simulator/cross_section_geometry.py,TrapezoidCrossSection.bottom_width_unclipped_m,m,NODI taper-from-vertical,W_top-2*D*tan(taper),preserves negative descriptor width,geometry identity and closure,local diagnostic; not freeze-bound
G10A-INV-003,nodi_simulator/cross_section_geometry.py,bottom_width_runtime_clipped_m,m,runtime guard alias,"max(unclipped,0)",must not be measured geometry,runtime safety only,not interface identity
G10A-INV-004,nodi_simulator/cross_section_geometry.py,closure_status,enum,unclipped descriptor,geometry_closed/near_closed/open,near threshold 80 nm,descriptor closure and guards,not RC5.1 field
G10A-INV-005,nodi_simulator/channel_geometry_model.py,trapezoid_runtime_guard_status,enum,derived from closure_status,validation_guard/solver_guard/none,computed diagnostics,diagnostic gate,not freeze-bound
G10A-INV-006,nodi_simulator/channel_geometry_model.py,geometry_claim_level,enum,surrogate/not measured,active_parameterized_geometry_surrogate_not_measured,measured_profile path gate,claim boundary,present as generic RC5.1 field but not sidewall-bound
G10A-INV-007,nodi_simulator/parameter_sweep.py,_build_observation_signature,signature text,NODI runtime config,includes sidewall and propagation guards,cache/signature separation,stale rectangular cache prevention,local runtime cache guard
G10A-INV-008,nodi_simulator/parameter_sweep.py,initial_position_distribution_mode,enum,sampler support,flux_weighted blocked for trapezoid without flow model,ValueError on invalid trapezoid flux path,sampler support,runtime guard only
G10A-INV-009,nodi_simulator/trajectory.py,build_trajectory_context,diagnostic,active trapezoid model,blocks rectangular flow and wall-distance leakage,ValueError guard,trajectory/transport,not formula authorization
G10A-INV-010,nodi_simulator/fluidic_resistance.py,fluidic_trapezoid_propagation_status,enum,proxy status,rectangular hydraulic proxy under trapezoid,not q_ch/not clogging-rate,local-Q/hydraulic review,review-only proxy
G10A-INV-011,nodi_simulator/electrokinetic_transport.py,electrokinetic_geometry_propagation_status,enum,transport diagnostics,blocked_trapezoid_geometry_not_propagated,not local-Q/not q_ch,electrokinetic transport,blocked/review-only
G10A-INV-012,nodi_simulator/reference_field.py,reference_geometry_propagation_status,enum,reference-field surrogate,rectangular proxy or geometry-independent under trapezoid,not optical solver output,EAS/PRS optical binding,review-only proxy
G10A-INV-013,nodi_simulator/nodi_comsol_next_artifacts.py,GEOMETRY_DESCRIPTOR_SHA256,sha256,legacy route geometry descriptor,static descriptor contract hash,not sidewall descriptor v2,COMSOL/NODI handoff provenance,needs addendum for sidewall-aware rows
