manifest_id,artifact_path,row_count,sha256,allowed_use,blocked_use,not_evidence,no_auth
G9L-MANIFEST-0001,reports/joint_interface_20260629/NODI_COMSOL_GATE9A_BIDIRECTIONAL_CLOSURE_MATRIX_20260629.csv,5,6d6ada0a9396050192e55740e6837697daa7e8acf21ab3f2f37d643aac90bbb1,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0002,reports/joint_interface_20260629/NODI_COMSOL_GATE9A_COMSOL_GATE8_RECEIPT_REGISTER_20260629.csv,35,c5de8cfa1accfef29d49d244340b2bf42a5844f38485d0111d688ac2327e9d18,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0003,reports/joint_interface_20260629/NODI_COMSOL_GATE9B_RELEASE_FIELD_DICTIONARY_20260629.csv,365,0092dd84212c15ec4769bf0e4c9841b86bb2dc5d6b990fd5b43150045663f558,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0004,reports/joint_interface_20260629/NODI_COMSOL_GATE9B_RELEASE_HASH_TREE_20260629.csv,4,edacc47769ee7fa3bb5287088cdadc539fd2b6098ee7590a63416ea180a5b5d0,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0005,reports/joint_interface_20260629/NODI_COMSOL_GATE9C_USER_DECISION_DOSSIER_20260629.csv,3,a35c8af0abccfd5641003519ea63b41a6cfa4789bca680e5863179496ea8641d,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0006,reports/joint_interface_20260629/NODI_COMSOL_GATE9C_USER_SIGNOFF_TEXTS_20260629.csv,3,576359fe9aad8a6f50b23997308053e572dc5d77801b9a94159254ce84c5ec0c,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0007,reports/joint_interface_20260629/NODI_COMSOL_GATE9D_AUTHORIZATION_TOKEN_SCHEMA_20260629.csv,4,7ae543314b2ccc6f1356ac56adbc74ee70edbae1801b037065f2b2c7489ea4e4,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0008,reports/joint_interface_20260629/NODI_COMSOL_GATE9D_EDGE_PREAUTH_ESCROW_PACKAGE_20260629.csv,5,81ab557b543f3657a62f0db4b60d95eb6b2cff7243d83c2e12c04efbef9a811d,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0009,reports/joint_interface_20260629/NODI_COMSOL_GATE9E_POST_AUTH_INTAKE_STATE_MACHINE_20260629.csv,5,ea5d81041a92a97a8856d0ea54fdc1d03d28344bc94485f393735b4e545a58d5,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
G9L-MANIFEST-0010,reports/joint_interface_20260629/NODI_COMSOL_GATE9F_QCH_BINDING_SEALED_DEFERRAL_REGISTER_20260629.csv,2,25316cb44f6afd47c038b77f33a5190d6a1e2561f08310caf255c4943426e15a,review-only freeze release decision package,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula;accepted row expansion;direct PRS bin;grain-level ingestion,true,true
