ledger_id,geometry_descriptor_id,source_gate10_descriptor_id,descriptor_sha256,width_family,route_key,NODI_view,diameter_nm,bin_basis,ledger_status,can_enter_prs_eas_numeric_ingestion,can_enter_edge,can_enter_qch,can_enter_jrc,can_enter_runtime,can_enter_production,required_next_gate
G12D-LEDGER-001,G10-SWD-STAGE115-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-001,02a344f8b8a510ab4e80288b60b34846ac1671095908e5166ad73041e69680a8,W500,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-002,G10-SWD-STAGE115-002-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-002,9c7c79b1c59b7cfd03d3c23a08a8b0de6a0d6f93d2a3cf8ce2aeb9bae695a4d4,W600,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-003,G10-SWD-STAGE115-003-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-003,f3cb346565e399b801c2a2a5fad954f2dc190a6d63844eb3449ba4b93a793722,W700,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-004,G10-SWD-STAGE115-004-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-004,81372b1b4543ec0e64c33e30868f34459c2680435bcb0197c4d34d3295b1cfce,W800,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-005,G10-SWD-STAGE115-005-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE115-005,2f2ad61a9c1478e8b5570baff6462fee7d153f7f3c58f986a2c01e019d57e9e6,W900,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-006,G10-SWD-STAGE119-P6-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-001,ba8bd4a81361ee642ecb59be11f39b1617c5e3cb4fc5a84dcae4268bc4f2029e,W500,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-007,G10-SWD-STAGE119-P6-002-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-002,c67e54e1a00964e30653fd8480516dfa86585b2058991bbb8fb827ecde86f577,W600,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-008,G10-SWD-STAGE119-P6-003-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-003,b01c24c6f12ae1abd8879188fca9e4d77f62a28dae921ab579989eae4d5dcd7b,W700,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-009,G10-SWD-STAGE119-P6-004-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-004,5889673a23fbfe95dd3a3d44b3db970eb69d193a9f4b944dad09840c006d3de7,W800,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-010,G10-SWD-STAGE119-P6-005-NODI-ADDENDUM-CANDIDATE,G10-SWD-STAGE119-P6-005,2f9f630f4468bd2db34bafe0b6677b47ef270a3ddfa5884ff82b0ad5aa2ae930,W900,UNBOUND,UNBOUND,UNBOUND,not_bound,REVIEW_ONLY_DESCRIPTOR_RECEIPT_CANDIDATE,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
G12D-LEDGER-011,G10-SWD-MICRO-STAGE15-001-NODI-ADDENDUM-CANDIDATE,G10-SWD-MICRO-STAGE15-001,1c4467436c2167abe0e7335fa501e10c46cb6e3bec20f26eff63711dca05d734,W500000,MICRO_MANIFOLD_UNBOUND,UNBOUND,not_applicable,not_applicable,MICRO_REVIEW_ONLY_UNBOUND_NOT_NANO_BINDING,false,false,false,false,false,false,Gate12_user_decision_or_future_descriptor_binding_preflight
