result_id,fixture_id,fixture_family,expected_result,observed_result,match_status,unexpected_pass,forbidden_promotion,not_evidence
G12I-RESULT-0001,G12I-MUT-0001,positive_valid_descriptor_receipt,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0002,G12I-MUT-0002,positive_valid_addendum_release,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0003,G12I-MUT-0003,bad_hash,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0004,G12I-MUT-0004,bad_angle_convention,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0005,G12I-MUT-0005,bad_bottom_width,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0006,G12I-MUT-0006,micro_as_nano_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0007,G12I-MUT-0007,unbound_promotion,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0008,G12I-MUT-0008,eas_solver_claim_mismatch,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0009,G12I-MUT-0009,prs_blocked_bin_numeric_response,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0010,G12I-MUT-0010,route_score_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0011,G12I-MUT-0011,jrc_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0012,G12I-MUT-0012,qch_weighting_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0013,G12I-MUT-0013,yield_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0014,G12I-MUT-0014,winner_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0015,G12I-MUT-0015,detection_probability_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0016,G12I-MUT-0016,runtime_flag_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0017,G12I-MUT-0017,production_flag_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0018,G12I-MUT-0018,fixture_template_not_evidence_false,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0019,G12I-MUT-0019,comsol_template_field_alias,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0020,G12I-MUT-0020,binding_blocker_retained,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0021,G12I-MUT-0021,descriptor_without_sha,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0022,G12I-MUT-0022,descriptor_without_id,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0023,G12I-MUT-0023,wrong_depth_unit,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0024,G12I-MUT-0024,measured_geometry_claim,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0025,G12I-MUT-0025,positive_valid_descriptor_receipt,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0026,G12I-MUT-0026,positive_valid_addendum_release,PASS_REVIEW_ONLY,PASS_REVIEW_ONLY,MATCH_EXPECTED,false,false,true
G12I-RESULT-0027,G12I-MUT-0027,bad_hash,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0028,G12I-MUT-0028,bad_angle_convention,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0029,G12I-MUT-0029,bad_bottom_width,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0030,G12I-MUT-0030,micro_as_nano_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0031,G12I-MUT-0031,unbound_promotion,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0032,G12I-MUT-0032,eas_solver_claim_mismatch,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0033,G12I-MUT-0033,prs_blocked_bin_numeric_response,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0034,G12I-MUT-0034,route_score_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
G12I-RESULT-0035,G12I-MUT-0035,jrc_spoof,FAIL_AS_EXPECTED,FAIL_AS_EXPECTED,MATCH_EXPECTED,false,false,true
