convergence_id,field_name,comsol_rc5_field,normalized_field,owner,side,required_optional,policy_meaning,auth_impact,missing_reason,canonical_candidate,difference_class,semantic_conflict
G5C-RC5-0001,_source_file,,_source_file,NODI,receiver-only,optional_review_only,no authorization; review-only contract field,none,future_gate_or_adapter_required,_source_file,future-gate-only,false
G5C-RC5-0002,accepted_context_authorized,accepted_context_authorized,accepted_context_authorized,BOTH,bidirectional,forbidden_positive_authorization,no authorization; review-only contract field,none,present_both,accepted_context_authorized,MATCH,false
G5C-RC5-0003,accepted_row_expansion_authorized,accepted_row_expansion_authorized,accepted_row_expansion_authorized,BOTH,bidirectional,forbidden_positive_authorization,no authorization; review-only contract field,none,present_both,accepted_row_expansion_authorized,MATCH,false
G5C-RC5-0004,affected_rows,affected_rows,affected_rows,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,affected_rows,MATCH,false
G5C-RC5-0005,aggregation_error_bound_status,aggregation_error_bound_status,aggregation_error_bound_status,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,aggregation_error_bound_status,MATCH,false
G5C-RC5-0006,aggregation_rule,aggregation_rule,aggregation_rule,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,aggregation_rule,MATCH,false
G5C-RC5-0007,allowed_use,allowed_use,allowed_use,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,allowed_use,MATCH,false
G5C-RC5-0008,allowed_value_or_domain,allowed_value_or_domain,allowed_value_or_domain,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,allowed_value_or_domain,MATCH,false
G5C-RC5-0009,artifact_id,artifact_id,artifact_id,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,artifact_id,MATCH,false
G5C-RC5-0010,artifact_level_context_candidate,artifact_level_context_candidate,artifact_level_context_candidate,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,artifact_level_context_candidate,MATCH,false
G5C-RC5-0011,artifact_path,artifact_path,artifact_path,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,artifact_path,MATCH,false
G5C-RC5-0012,authorization_flags_false,authorization_flags_false,authorization_flags_false,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,authorization_flags_false,MATCH,false
G5C-RC5-0013,authorized,authorized,authorized,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,authorized,MATCH,false
G5C-RC5-0014,auto_map_authorized,auto_map_authorized,auto_map_authorized,BOTH,bidirectional,forbidden_positive_authorization,no authorization; review-only contract field,none,present_both,auto_map_authorized,MATCH,false
G5C-RC5-0015,bin_basis,bin_basis,bin_basis,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,bin_basis,MATCH,false
G5C-RC5-0016,bin_coverage,bin_coverage,bin_coverage,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,bin_coverage,MATCH,false
G5C-RC5-0017,bin_id,bin_id,bin_id,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,bin_id,MATCH,false
G5C-RC5-0018,binding_blocker,binding_blocker,binding_blocker,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,binding_blocker,MATCH,false
G5C-RC5-0019,binding_fail_closed,binding_fail_closed,binding_fail_closed,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,binding_fail_closed,MATCH,false
G5C-RC5-0020,binding_repair_row_id,binding_repair_row_id,binding_repair_row_id,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,binding_repair_row_id,MATCH,false
G5C-RC5-0021,binding_template_row_id,binding_template_row_id,binding_template_row_id,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,binding_template_row_id,MATCH,false
G5C-RC5-0022,blocked_class,blocked_class,blocked_class,BOTH,bidirectional,optional_review_only,no authorization; review-only contract field,none,present_both,blocked_class,MATCH,false
