adapter_rule_id,source_field,target_field,source_value,normalization_type,safe_reason,forbidden_effect_checks,test_case_id,input_status,output_status_after_adapter,policy_change_allowed
G5D-NODI-GAP-0001,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0005,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0002,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0010,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0003,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0015,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0004,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0020,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0005,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0025,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0006,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0030,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0007,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0035,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0008,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0040,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0009,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0045,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0010,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0050,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0011,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0055,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0012,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0060,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0013,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0065,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0014,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0070,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0015,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0075,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0016,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0080,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0017,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0085,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0018,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0090,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0019,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0095,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0020,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0100,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0021,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0105,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0022,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0110,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0023,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0115,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-NODI-GAP-0024,expected_label,expected_nodi_disposition,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,label_to_disposition_alias,closes Gate4C adapter gap without changing actual NODI disposition,no accepted;no authorized;no verdict promotion,G4C-PROBE-0120,ADAPTER_REQUIRED,ADAPTER_GAP_CLOSED,false
G5D-COMSOL-RULE-0001,D_nm,D_nm,,field_or_label_normalization,normalize naming/path only; no semantic promotion,cannot promote PREAUTH/REJECT/HARD_FAIL; cannot authorize evidence,COMSOL-G4B-RULE-001,MATCH,MATCH_OR_ADAPTER_GAP_CLOSED,false
G5D-COMSOL-RULE-0002,NODI_view,NODI_view,,field_or_label_normalization,normalize naming/path only; no semantic promotion,cannot promote PREAUTH/REJECT/HARD_FAIL; cannot authorize evidence,COMSOL-G4B-RULE-002,MATCH,MATCH_OR_ADAPTER_GAP_CLOSED,false
G5D-COMSOL-RULE-0003,NODI_view_binding_policy,NODI_view_binding_policy,,field_or_label_normalization,normalize naming/path only; no semantic promotion,cannot promote PREAUTH/REJECT/HARD_FAIL; cannot authorize evidence,COMSOL-G4B-RULE-003,MATCH,MATCH_OR_ADAPTER_GAP_CLOSED,false
