combined_id,source_side,mutation_id,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion,mutation_type
G5F-COMBINED-0001,NODI_GATE4F,G3F-MUT-0001,authorization_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0002,NODI_GATE4F,G3F-MUT-0002,authorization_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0003,NODI_GATE4F,G3F-MUT-0003,authorization_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0004,NODI_GATE4F,G3F-MUT-0004,authorization_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0005,NODI_GATE4F,G3F-MUT-0005,authorization_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0006,NODI_GATE4F,G3F-MUT-0006,authorization_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0007,NODI_GATE4F,G3F-MUT-0007,formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0008,NODI_GATE4F,G3F-MUT-0008,formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0009,NODI_GATE4F,G3F-MUT-0009,formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0010,NODI_GATE4F,G3F-MUT-0010,formula_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0011,NODI_GATE4F,G3F-MUT-0011,formula_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0012,NODI_GATE4F,G3F-MUT-0012,formula_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0013,NODI_GATE4F,G3F-MUT-0013,direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0014,NODI_GATE4F,G3F-MUT-0014,direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0015,NODI_GATE4F,G3F-MUT-0015,direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0016,NODI_GATE4F,G3F-MUT-0016,direct_prs_bin_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0017,NODI_GATE4F,G3F-MUT-0017,direct_prs_bin_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0018,NODI_GATE4F,G3F-MUT-0018,direct_prs_bin_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0019,NODI_GATE4F,G3F-MUT-0019,grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0020,NODI_GATE4F,G3F-MUT-0020,grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
G5F-COMBINED-0021,NODI_GATE4F,G3F-MUT-0021,grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false,
