dry_run_id,source_side,source_row_id,row_kind,workstream,disposition,reason,required_next_gate,allowed_use,blocked_use,human_review_required,future_authorization_required,evidence_accepted,gate2d_ledger_expansion
G3C-DOSSIER-0001,COMSOL,G2Z-DOSSIER-0001,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0002,COMSOL,G2Z-DOSSIER-0002,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0003,COMSOL,G2Z-DOSSIER-0003,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0004,COMSOL,G2Z-DOSSIER-0004,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0005,COMSOL,G2Z-DOSSIER-0005,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0006,COMSOL,G2Z-DOSSIER-0006,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0007,COMSOL,G2Z-DOSSIER-0007,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0008,COMSOL,G2Z-DOSSIER-0008,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0009,COMSOL,G2Z-DOSSIER-0009,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
G3C-DOSSIER-0010,COMSOL,G2Z-DOSSIER-0010,dossier,EDGE,PREAUTH_REQUIRED,dossier/trial requires future pre-authorization before evidence intake,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,pre-authorization review preparation,evidence acceptance; formula; weighting; JRC; production/runtime,true,true,false,false
