receipt_id,source_row_id,workstream,source_artifact,not_evidence,template_only,future_authorization_required,would_require_comsol_run,would_require_mph_load,receipt_status,evidence_accepted,authorization_opened
G4A-SPEC-0001,G3B-BINDING-001,BINDING,roadmap/COMSOL_GATE2T_WORK_ORDER_TO_EXISTING_ARTIFACT_CROSSWALK_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0002,G3B-BINDING-002,BINDING,roadmap/COMSOL_GATE2C_REDUCED_SCOPE_DECISION_TABLE_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0003,G3B-BINDING-003,BINDING,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MASTER_PACKET_20260628.md,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0004,G3B-BINDING-004,BINDING,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_INDEX_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0005,G3B-BINDING-005,BINDING,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MASTER_PLAN_20260628.md,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0006,G3B-BINDING-006,BINDING,roadmap/COMSOL_GATE2A_NODI_BINDING_BLOCKERS_20260627.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0007,G3B-BINDING-007,BINDING,roadmap/COMSOL_GATE2Q_REAL_EVIDENCE_WORK_ORDER_QUEUE_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0008,G3B-BINDING-008,BINDING,roadmap/COMSOL_GATE2B_QCH_FORMAL_SIDECAR_REQUIREMENTS_20260627.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0009,G3B-BINDING-009,BINDING,roadmap/COMSOL_GATE2T_EVIDENCE_LINEAGE_GRAPH_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0010,G3B-BINDING-010,BINDING,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_VALIDATION_20260628.csv,true,true,true,not_always; depends on missing binding class,false_for_policy_only; true_if_future_physics_export_needed,MATCH,false,false
G4A-SPEC-0011,G3B-EDGE-001,EDGE,roadmap/COMSOL_GATE2F_EDGE_REVIEW_EVIDENCE_MASTER_PACKET_20260628.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0012,G3B-EDGE-002,EDGE,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MANIFEST_20260628.csv,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0013,G3B-EDGE-003,EDGE,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MANIFEST_20260628.csv,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0014,G3B-EDGE-004,EDGE,roadmap/COMSOL_GATE2C_REDUCED_SCOPE_DECISION_PACKET_20260628.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0015,G3B-EDGE-005,EDGE,roadmap/COMSOL_GATE2J_2K_2L_2M_NODI_SUBMISSION_CONTRACT_MASTER_PACKET_20260628.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0016,G3B-EDGE-006,EDGE,roadmap/COMSOL_GATE2T_EDGE_EVIDENCE_GAP_CLOSURE_MAP_20260628.csv,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0017,G3B-EDGE-007,EDGE,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_PACKET_20260628.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0018,G3B-EDGE-008,EDGE,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0019,G3B-EDGE-009,EDGE,full_chip/dwg_analysis/FULL_CHIP_STAGE12_EV_TRANSPORT_SURFACE_CLOGGING_REVIEW.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0020,G3B-EDGE-010,EDGE,p0_model_package/model_contracts/wall_state_schema.csv,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0021,G3B-EDGE-011,EDGE,roadmap/EV_PBS_SAMPLE_SURFACE_INPUT_LOCK_PREFLIGHT_FIELDS_20260625.csv,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0022,G3B-EDGE-012,EDGE,full_chip/dwg_analysis/FULL_CHIP_SIMULATION_ONLY_MASTER_DOCUMENT_STAGE106_COMPLETE_MODEL.md,true,true,true,unknown_future_authorization_required,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0023,G3B-QCH-001,QCH,roadmap/COMSOL_GATE2E_MINIMAL_DELIVERABLE_DASHBOARD_20260628.csv,true,true,true,likely_requires_future_source_or_run,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0024,G3B-QCH-002,QCH,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_TEMPLATE_V2_20260628.csv,true,true,true,likely_requires_future_source_or_run,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0025,G3B-QCH-003,QCH,roadmap/COMSOL_GATE2L_QCH_FORMAL_SIDECAR_PACKAGE_CONTRACT_20260628.csv,true,true,true,likely_requires_future_source_or_run,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0026,G3B-QCH-004,QCH,roadmap/COMSOL_GATE2L_QCH_PACKAGE_CONTRACT_PACKET_20260628.md,true,true,true,likely_requires_future_source_or_run,unknown_future_authorization_required,MATCH,false,false
G4A-SPEC-0027,G3B-QCH-005,QCH,roadmap/SIMULATION_ONLY_P6_PAPER_FIGURE_PLAN_20260614.csv,true,true,true,likely_requires_future_source_or_run,unknown_future_authorization_required,MATCH,false,false
