mutation_receipt_id,mutation_id,mutation_type,mutation_family,workstream,expected_result,observed_result,nodi_receipt_status,unexpected_pass
G4F-MUT-0001,G3F-MUT-0001,single,authorization_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0002,G3F-MUT-0002,single,authorization_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0003,G3F-MUT-0003,single,authorization_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0004,G3F-MUT-0004,single,authorization_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0005,G3F-MUT-0005,single,authorization_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0006,G3F-MUT-0006,single,authorization_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0007,G3F-MUT-0007,single,formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0008,G3F-MUT-0008,single,formula_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0009,G3F-MUT-0009,single,formula_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0010,G3F-MUT-0010,single,formula_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0011,G3F-MUT-0011,single,formula_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0012,G3F-MUT-0012,single,formula_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0013,G3F-MUT-0013,single,direct_prs_bin_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0014,G3F-MUT-0014,single,direct_prs_bin_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0015,G3F-MUT-0015,single,direct_prs_bin_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0016,G3F-MUT-0016,single,direct_prs_bin_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0017,G3F-MUT-0017,single,direct_prs_bin_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0018,G3F-MUT-0018,single,direct_prs_bin_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0019,G3F-MUT-0019,single,grain_ingestion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0020,G3F-MUT-0020,single,grain_ingestion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0021,G3F-MUT-0021,single,grain_ingestion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0022,G3F-MUT-0022,single,grain_ingestion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0023,G3F-MUT-0023,single,grain_ingestion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0024,G3F-MUT-0024,single,grain_ingestion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0025,G3F-MUT-0025,single,accepted_expansion_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0026,G3F-MUT-0026,single,accepted_expansion_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0027,G3F-MUT-0027,single,accepted_expansion_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0028,G3F-MUT-0028,single,accepted_expansion_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0029,G3F-MUT-0029,single,accepted_expansion_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0030,G3F-MUT-0030,single,accepted_expansion_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0031,G3F-MUT-0031,single,q_ch_weighting_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0032,G3F-MUT-0032,single,q_ch_weighting_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0033,G3F-MUT-0033,single,q_ch_weighting_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0034,G3F-MUT-0034,single,q_ch_weighting_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0035,G3F-MUT-0035,single,q_ch_weighting_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0036,G3F-MUT-0036,single,q_ch_weighting_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0037,G3F-MUT-0037,single,JRC_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0038,G3F-MUT-0038,single,JRC_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0039,G3F-MUT-0039,single,JRC_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0040,G3F-MUT-0040,single,JRC_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0041,G3F-MUT-0041,single,JRC_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0042,G3F-MUT-0042,single,JRC_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
G4F-MUT-0043,G3F-MUT-0043,single,production_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,MATCH_EXPECTED_FAIL,false
