mutation_id,family,expected_result,observed_result,match_status,unexpected_pass,forbidden_promotion,gate2d_row_count_drift
G13H-MUT-00001,angle_convention,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00002,alpha_theta_conversion,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00003,W_top_depth_extreme,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00004,W_bottom_negative,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00005,W_bottom_zero,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00006,W_bottom_tiny,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00007,W_bottom_valid,PASS_REVIEW_ONLY_CONTROL,PASS_REVIEW_ONLY_CONTROL,MATCH_EXPECTED,false,false,false
G13H-MUT-00008,runtime_clipped_mismatch,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00009,micro_nano_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00010,fluidic_proxy_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00011,comsol_gate12_head_drift,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00012,qch_jrc_yield_winner_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00013,production_runtime_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00014,missing_descriptor_hash,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00015,source_grain_borrowing,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00016,unbound_promotion,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00017,angle_convention,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00018,alpha_theta_conversion,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00019,W_top_depth_extreme,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00020,W_bottom_negative,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00021,W_bottom_zero,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00022,W_bottom_tiny,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00023,W_bottom_valid,PASS_REVIEW_ONLY_CONTROL,PASS_REVIEW_ONLY_CONTROL,MATCH_EXPECTED,false,false,false
G13H-MUT-00024,runtime_clipped_mismatch,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00025,micro_nano_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00026,fluidic_proxy_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00027,comsol_gate12_head_drift,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00028,qch_jrc_yield_winner_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00029,production_runtime_spoof,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00030,missing_descriptor_hash,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00031,source_grain_borrowing,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00032,unbound_promotion,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00033,angle_convention,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00034,alpha_theta_conversion,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00035,W_top_depth_extreme,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00036,W_bottom_negative,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
G13H-MUT-00037,W_bottom_zero,FAIL_CLOSED_OR_QUARANTINE,FAIL_CLOSED_OR_QUARANTINE,MATCH_EXPECTED,false,false,false
