rc4_field_id,field_name,field_category,default_value,authorization_default,contract_status
G3E-RC4-FIELD-0001,D_nm,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0002,NODI_view,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0003,NODI_view_binding_policy,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0004,NODI_view_binding_status,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0005,NODI_view_current,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0006,NODI_view_status,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0007,PRS_exact_match_claim,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0008,UNBOUND_reason_if_any,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0009,W_nominal_nm,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0010,accepted_context_authorized,forbidden_positive_authorization,false,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0011,accepted_row_expansion_authorized,forbidden_positive_authorization,false,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0012,affected_rows,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0013,aggregation_error_bound_status,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0014,aggregation_rule,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0015,allowed_use,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0016,allowed_value_or_domain,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0017,artifact_id,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0018,artifact_level_context_candidate,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0019,artifact_path,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0020,authorization_flags_false,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0021,authorized,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0022,auto_map_authorized,forbidden_positive_authorization,false,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0023,bin_basis,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0024,bin_coverage,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0025,bin_id,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0026,binding_blocker,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0027,binding_fail_closed,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0028,binding_repair_row_id,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0029,binding_template_row_id,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0030,blocked_class,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0031,blocked_until,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0032,blocked_use,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0033,blocker_id,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0034,blocker_if_any,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0035,blocker_preserved,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0036,blocker_reason,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0037,blocker_type,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0038,can_be_done_without_new_comsol_solve,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0039,can_close_reason,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
G3E-RC4-FIELD-0040,can_close_work_order,optional_review_only,,false,RC4_CANDIDATE_REVIEW_ONLY
