schema_id,descriptor_version,field_name,field_type,requiredness,semantics,authorization_default,claim_boundary
G10C-SCHEMA-001,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,geometry_descriptor_id,string,required,stable descriptor id,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-002,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,geometry_descriptor_sha256,sha256,required,hash over core geometry fields,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-003,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,sidewall_angle_convention,enum,required,comsol_from_horizontal_nodi_taper_from_vertical_v1,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-004,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,sidewall_deg_comsol,float_deg,required,from substrate/horizontal; 90 vertical,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-005,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,sidewall_taper_angle_deg_nodi,float_deg,required,from vertical; equals 90-sidewall_deg_comsol,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-006,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,angle_conversion_formula_id,enum,required,sidewall_from_horizontal_to_taper_from_vertical_v1,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-007,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,W_top_nm,float_nm,required,top channel width,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-008,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,D_nm,float_nm,alias_required,depth alias for existing route vocabulary,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-009,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,depth_nm,float_nm,required,etched depth,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-010,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,W_bottom_unclipped_nm,float_nm,required,W_top - 2*D/tan(sidewall_deg_comsol),false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-011,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,W_bottom_runtime_clipped_nm,float_nm,required,"max(unclipped,0); runtime guard only",false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-012,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,closure_status,enum,required,open|near_closed|geometry_closed from unclipped width,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-013,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,closure_policy,enum,required,preserve_unclipped_descriptor,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-014,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,runtime_guard_status,enum,required,none|solver_guard|validation_guard,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-015,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,min_aperture_descriptor_nm,float_nm,required,descriptor aperture may be negative,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-016,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,cross_section_geometry_version,enum,required,trapezoid_straight_sidewall_v1,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-017,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,geometry_claim_level,enum,required,not measured geometry,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-018,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,geometry_surrogate_status,enum,required,review-only descriptor status,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-019,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,not_measured_geometry,boolean,required,must be true,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-020,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,not_runtime_configuration,boolean,required,must be true,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-021,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,not_production_ingestion,boolean,required,must be true,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-022,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,allowed_use,text,required,review-only geometry identity descriptor;interface schema validation;sidewall-aware package quarantine/preflight,false,review_only_geometry_identity_not_measured_not_runtime
G10C-SCHEMA-023,SIDEWALL_GEOMETRY_DESCRIPTOR_V2_REVIEW_ONLY,blocked_use,text,required,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,false,review_only_geometry_identity_not_measured_not_runtime
