receipt_id,source_manifest_id,artifact,path,absolute_path,recorded_sha256,actual_sha256,recorded_row_count,actual_row_count,producer_status,receipt_status,policy_impact
G11B-RECEIPT-001,G10-MAN-001,COMSOL_GATE10_SIDEWALL_SOURCE_INVENTORY_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_SOURCE_INVENTORY_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_SOURCE_INVENTORY_20260629.csv,6f753da49634b59c47d7a73817d459210a762fd3316fd01de96d521ce149b42c,6f753da49634b59c47d7a73817d459210a762fd3316fd01de96d521ce149b42c,10,10,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-002,G10-MAN-002,COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_20260629.csv,52b3eda530e1c536974fd0474e1e2b28e61fb8d442f99f0126016a16364e1213,52b3eda530e1c536974fd0474e1e2b28e61fb8d442f99f0126016a16364e1213,11,11,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-003,G10-MAN-003,COMSOL_GATE10_SIDEWALL_NODI_CROSSWALK_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_NODI_CROSSWALK_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_NODI_CROSSWALK_20260629.csv,a0d59d7f2b59ab89c9e582025f92facfdf267d7f5f5d9ec9d13e05f47c8b3651,a0d59d7f2b59ab89c9e582025f92facfdf267d7f5f5d9ec9d13e05f47c8b3651,13,13,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-004,G10-MAN-004,COMSOL_GATE10_SIDEWALL_FREEZE_IMPACT_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_FREEZE_IMPACT_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_FREEZE_IMPACT_20260629.csv,18f6a7d39d4068a9f15e11e2fb4858b061eae34df22e063ff02b37bf49efec56,18f6a7d39d4068a9f15e11e2fb4858b061eae34df22e063ff02b37bf49efec56,6,6,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-005,G10-MAN-005,COMSOL_GATE10_SIDEWALL_FUTURE_NO_RUN_ESCROW_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_FUTURE_NO_RUN_ESCROW_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_FUTURE_NO_RUN_ESCROW_20260629.csv,6252cebf69676e0f2d7d8fac94a3785dfebb3567749ef21819481ddc5a1c6b32,6252cebf69676e0f2d7d8fac94a3785dfebb3567749ef21819481ddc5a1c6b32,5,5,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-006,G10-MAN-006,COMSOL_GATE10_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_MUTATION_NEGATIVE_CONTROLS_20260629.csv,706ae6a592327bc606d24904d53f4fb28a1b6788aaac372bd1c3552f5f7d5fc4,706ae6a592327bc606d24904d53f4fb28a1b6788aaac372bd1c3552f5f7d5fc4,12,12,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-007,G10-MAN-007,COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_PACKET_20260629.md,roadmap/COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_DESCRIPTOR_EXPORT_PACKET_20260629.md,e6f103e6aba5303a10ccbcb53fcf5e5ab4db2adff1c287a4f8f68baa23d6cef8,e6f103e6aba5303a10ccbcb53fcf5e5ab4db2adff1c287a4f8f68baa23d6cef8,NA,NA,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-008,G10-MAN-008,build_gate10_sidewall_descriptor_export_20260629.py,full_chip/dwg_analysis/build_gate10_sidewall_descriptor_export_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\build_gate10_sidewall_descriptor_export_20260629.py,ce8525a4a9e5f3cda951d548924b77da2788f5b5b9f42fa019137d4898739ca1,ce8525a4a9e5f3cda951d548924b77da2788f5b5b9f42fa019137d4898739ca1,NA,NA,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-009,G10-MAN-009,validate_gate10_sidewall_descriptor_export_20260629.py,full_chip/dwg_analysis/validate_gate10_sidewall_descriptor_export_20260629.py,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\validate_gate10_sidewall_descriptor_export_20260629.py,50da4619b6a743b2e3e717db26fdef9b2877af17b0e2d14663b7dd2844581289,50da4619b6a743b2e3e717db26fdef9b2877af17b0e2d14663b7dd2844581289,NA,NA,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
G11B-RECEIPT-010,G10-MAN-010,COMSOL_GATE10_SIDEWALL_VALIDATION_20260629.csv,roadmap/COMSOL_GATE10_SIDEWALL_VALIDATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE10_SIDEWALL_VALIDATION_20260629.csv,e0affdec393774674ea291bff99a9eb05ec82e5a6f35314d2a4b7e927b4293f4,e0affdec393774674ea291bff99a9eb05ec82e5a6f35314d2a4b7e927b4293f4,18,18,COMSOL_GATE10_DESCRIPTOR_EXPORT,MATCH,review_only_no_auth
