mutation_receipt_id,source_side,mutation_id,mutation_type,mutation_family,workstream,expected_result,observed_result,unexpected_pass,forbidden_promotion
G5F-COMSOL-MUT-0001,COMSOL_GATE4G,G4G-MUT-0001,single,comsol_probe_template_only,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0002,COMSOL_GATE4G,G4G-MUT-0002,single,comsol_probe_template_only,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0003,COMSOL_GATE4G,G4G-MUT-0003,single,comsol_probe_template_only,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0004,COMSOL_GATE4G,G4G-MUT-0004,single,comsol_probe_template_only,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0005,COMSOL_GATE4G,G4G-MUT-0005,single,comsol_probe_template_only,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0006,COMSOL_GATE4G,G4G-MUT-0006,single,comsol_probe_template_only,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0007,COMSOL_GATE4G,G4G-MUT-0007,single,nodi_emulator_rule_downgrade_attempt,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0008,COMSOL_GATE4G,G4G-MUT-0008,single,nodi_emulator_rule_downgrade_attempt,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0009,COMSOL_GATE4G,G4G-MUT-0009,single,nodi_emulator_rule_downgrade_attempt,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0010,COMSOL_GATE4G,G4G-MUT-0010,single,nodi_emulator_rule_downgrade_attempt,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0011,COMSOL_GATE4G,G4G-MUT-0011,single,nodi_emulator_rule_downgrade_attempt,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0012,COMSOL_GATE4G,G4G-MUT-0012,single,nodi_emulator_rule_downgrade_attempt,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0013,COMSOL_GATE4G,G4G-MUT-0013,single,rc4_rc5_field_mismatch,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0014,COMSOL_GATE4G,G4G-MUT-0014,single,rc4_rc5_field_mismatch,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0015,COMSOL_GATE4G,G4G-MUT-0015,single,rc4_rc5_field_mismatch,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0016,COMSOL_GATE4G,G4G-MUT-0016,single,rc4_rc5_field_mismatch,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0017,COMSOL_GATE4G,G4G-MUT-0017,single,rc4_rc5_field_mismatch,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0018,COMSOL_GATE4G,G4G-MUT-0018,single,rc4_rc5_field_mismatch,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0019,COMSOL_GATE4G,G4G-MUT-0019,single,dependency_recipe_execution_marker,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0020,COMSOL_GATE4G,G4G-MUT-0020,single,dependency_recipe_execution_marker,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0021,COMSOL_GATE4G,G4G-MUT-0021,single,dependency_recipe_execution_marker,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0022,COMSOL_GATE4G,G4G-MUT-0022,single,dependency_recipe_execution_marker,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0023,COMSOL_GATE4G,G4G-MUT-0023,single,dependency_recipe_execution_marker,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0024,COMSOL_GATE4G,G4G-MUT-0024,single,dependency_recipe_execution_marker,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0025,COMSOL_GATE4G,G4G-MUT-0025,single,owner_ledger_current_action_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0026,COMSOL_GATE4G,G4G-MUT-0026,single,owner_ledger_current_action_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0027,COMSOL_GATE4G,G4G-MUT-0027,single,owner_ledger_current_action_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0028,COMSOL_GATE4G,G4G-MUT-0028,single,owner_ledger_current_action_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0029,COMSOL_GATE4G,G4G-MUT-0029,single,owner_ledger_current_action_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0030,COMSOL_GATE4G,G4G-MUT-0030,single,owner_ledger_current_action_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0031,COMSOL_GATE4G,G4G-MUT-0031,single,authorization_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0032,COMSOL_GATE4G,G4G-MUT-0032,single,authorization_true,QCH,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0033,COMSOL_GATE4G,G4G-MUT-0033,single,authorization_true,BINDING,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0034,COMSOL_GATE4G,G4G-MUT-0034,single,authorization_true,local-Q,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0035,COMSOL_GATE4G,G4G-MUT-0035,single,authorization_true,V4,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0036,COMSOL_GATE4G,G4G-MUT-0036,single,authorization_true,strong-claim,FAIL_EXPECTED,FAIL_EXPECTED,false,false
G5F-COMSOL-MUT-0037,COMSOL_GATE4G,G4G-MUT-0037,single,formula_true,EDGE,FAIL_EXPECTED,FAIL_EXPECTED,false,false
