field_id,addendum_version,field_name,requiredness,owner,allowed_use,blocked_use,review_only,runtime_contract,production_contract,historical_freeze_rewrite
G11C-FIELD-001,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,geometry_descriptor_id,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-002,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,geometry_descriptor_sha256,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-003,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,source_geometry_descriptor_id,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-004,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,source_geometry_descriptor_sha,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-005,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,sidewall_angle_convention,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-006,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,sidewall_deg_comsol,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-007,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,sidewall_taper_angle_deg_nodi,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-008,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,angle_conversion_formula_id,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-009,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,W_top_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-010,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,D_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-011,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,depth_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-012,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,W_bottom_unclipped_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-013,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,W_bottom_runtime_clipped_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-014,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,closure_status,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-015,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,closure_policy,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-016,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,runtime_guard_status,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-017,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,min_aperture_descriptor_nm,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-018,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,cross_section_geometry_version,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-019,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,cross_section_geometry_version_candidate,required_no_auth_or_claim_guard,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-020,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,geometry_claim_level,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-021,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,geometry_surrogate_status,required_for_sidewall_aware_rows,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
G11C-FIELD-022,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_CANDIDATE_REVIEW_ONLY,sidewall_descriptor_binding_status,required_marker_or_receiver_guard,NODI_RECEIVER,review-only sidewall geometry descriptor receipt;RC5.1 addendum candidate;PRS/EAS contract fixture validation;quarantine/preflight,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion,true,false,false,false
