probe_check_id,probe_row_id,workstream,probe_category,expected_label,expected_nodi_disposition,actual_nodi_disposition,conformance_status,mismatch_class,not_evidence,evidence_accepted,authorization_opened
G4C-PROBE-0001,G3E-BINDING-001,BINDING,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0002,G3E-BINDING-002,BINDING,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0003,G3E-BINDING-003,BINDING,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED,PREAUTH_REQUIRED,MATCH,none,true,false,false
G4C-PROBE-0004,G3E-BINDING-004,BINDING,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,true,false,false
G4C-PROBE-0005,G3E-BINDING-005,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0006,G3E-BINDING-006,BINDING,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0007,G3E-BINDING-007,BINDING,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0008,G3E-BINDING-008,BINDING,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED,PREAUTH_REQUIRED,MATCH,none,true,false,false
G4C-PROBE-0009,G3E-BINDING-009,BINDING,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,true,false,false
G4C-PROBE-0010,G3E-BINDING-010,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0011,G3E-BINDING-011,BINDING,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0012,G3E-BINDING-012,BINDING,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0013,G3E-BINDING-013,BINDING,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED,PREAUTH_REQUIRED,MATCH,none,true,false,false
G4C-PROBE-0014,G3E-BINDING-014,BINDING,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,true,false,false
G4C-PROBE-0015,G3E-BINDING-015,BINDING,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,ADAPTER_REQUIRED_UNKNOWN_EXPECTED_LABEL,RECEIVE_REVIEW_ONLY,ADAPTER_REQUIRED,adapter_gap,true,false,false
G4C-PROBE-0016,G3E-BINDING-016,BINDING,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0017,G3E-BINDING-017,BINDING,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,RECEIVE_REVIEW_ONLY,RECEIVE_REVIEW_ONLY,MATCH,none,true,false,false
G4C-PROBE-0018,G3E-BINDING-018,BINDING,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED,PREAUTH_REQUIRED,MATCH,none,true,false,false
G4C-PROBE-0019,G3E-BINDING-019,BINDING,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,PREAUTH_REQUIRED,COMPATIBLE_LABEL_DELTA,harmless_label_delta,true,false,false
