summary_id,mutation_family,row_equivalent_count,coverage_status
G6E-SUM-0001,220_auto_map,6,PASS_UNION_COVERED
G6E-SUM-0002,BINDING_promotion_spoofing,81,PASS_UNION_COVERED
G6E-SUM-0003,BINDING_promotion_spoofing+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0004,BINDING_promotion_spoofing+EDGE_approval_spoofing,23,PASS_UNION_COVERED
G6E-SUM-0005,BINDING_promotion_spoofing+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0006,BINDING_promotion_spoofing+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0007,BINDING_promotion_spoofing+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0008,BINDING_promotion_spoofing+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0009,BINDING_promotion_spoofing+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0010,BINDING_promotion_spoofing+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0011,BINDING_promotion_spoofing+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0012,BINDING_promotion_spoofing+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0013,BINDING_promotion_spoofing+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0014,BINDING_promotion_spoofing+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0015,BINDING_promotion_spoofing+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0016,BINDING_promotion_spoofing+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0017,BINDING_promotion_spoofing+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0018,BINDING_promotion_spoofing+yield_present,1,PASS_UNION_COVERED
G6E-SUM-0019,D1200_borrow_D900,6,PASS_UNION_COVERED
G6E-SUM-0020,EDGE_approval_spoofing,81,PASS_UNION_COVERED
G6E-SUM-0021,EDGE_approval_spoofing+BINDING_promotion_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0022,EDGE_approval_spoofing+EDGE_approval_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0023,EDGE_approval_spoofing+Gate2D_row_count_drift,1,PASS_UNION_COVERED
G6E-SUM-0024,EDGE_approval_spoofing+JRC_present,1,PASS_UNION_COVERED
G6E-SUM-0025,EDGE_approval_spoofing+RC5_field_alias_drift,1,PASS_UNION_COVERED
G6E-SUM-0026,EDGE_approval_spoofing+adapter_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0027,EDGE_approval_spoofing+chi_selected_true,1,PASS_UNION_COVERED
G6E-SUM-0028,EDGE_approval_spoofing+detection_probability_present,1,PASS_UNION_COVERED
G6E-SUM-0029,EDGE_approval_spoofing+forbidden_output_leakage,1,PASS_UNION_COVERED
G6E-SUM-0030,EDGE_approval_spoofing+numeric_bound_invented,1,PASS_UNION_COVERED
G6E-SUM-0031,EDGE_approval_spoofing+pending_actual_reopens,1,PASS_UNION_COVERED
G6E-SUM-0032,EDGE_approval_spoofing+production_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0033,EDGE_approval_spoofing+q_ch_sidecar_spoofing,1,PASS_UNION_COVERED
G6E-SUM-0034,EDGE_approval_spoofing+runtime_authorization_true,1,PASS_UNION_COVERED
G6E-SUM-0035,EDGE_approval_spoofing+winner_present,1,PASS_UNION_COVERED
G6E-SUM-0036,EDGE_approval_spoofing+yield_present,23,PASS_UNION_COVERED
G6E-SUM-0037,Gate2D_row_count_drift,71,PASS_UNION_COVERED
