rc4_delta_id,field_name,delta_status,blocking_mismatch
G3E-DELTA-0001,D_nm,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0002,NODI_view,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0003,NODI_view_binding_policy,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0004,NODI_view_binding_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0005,NODI_view_current,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0006,NODI_view_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0007,PRS_exact_match_claim,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0008,UNBOUND_reason_if_any,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0009,W_nominal_nm,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0010,accepted_context_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0011,accepted_row_expansion_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0012,affected_rows,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0013,aggregation_error_bound_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0014,aggregation_rule,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0015,allowed_use,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0016,allowed_value_or_domain,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0017,artifact_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0018,artifact_level_context_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0019,artifact_path,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0020,authorization_flags_false,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0021,authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0022,auto_map_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0023,bin_basis,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0024,bin_coverage,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0025,bin_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0026,binding_blocker,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0027,binding_fail_closed,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0028,binding_repair_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0029,binding_template_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0030,blocked_class,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0031,blocked_until,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0032,blocked_use,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0033,blocker_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0034,blocker_if_any,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0035,blocker_preserved,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0036,blocker_reason,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0037,blocker_type,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0038,can_be_done_without_new_comsol_solve,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0039,can_close_reason,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0040,can_close_work_order,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0041,can_fix_without_new_comsol_solve,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0042,can_repair_without_new_solve,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0043,candidate_claim,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0044,candidate_edge20_bins_covered,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0045,candidate_export_row_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0046,candidate_prs_edge20_end_1based,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0047,candidate_prs_edge20_ids,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0048,candidate_prs_edge20_start_1based,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0049,candidate_route_family,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0050,candidate_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0051,carry_forward_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0052,case_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0053,check_definition,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0054,check_name,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0055,checks,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0056,chi_selected_authorized,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0057,claim_boundary,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0058,claim_promotion_authorized_now,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0059,columns,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0060,comsol_artifact_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0061,comsol_artifact_path,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0062,comsol_evidence_or_gap,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0063,comsol_gate2g_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0064,comsol_gate_id,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0065,comsol_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0066,conservativeness_check_required,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0067,conservativeness_metric,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0068,conservativeness_rule,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0069,conservativeness_status,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0070,consumer_candidate,RC3_TO_RC4_CARRIED_FORWARD,false
G3E-DELTA-0071,coverage_complete,RC3_TO_RC4_CARRIED_FORWARD,false
