pending_id,simulation_row_id,source_probe_row_id,workstream,probe_category,comsol_expected_disposition,comsol_simulated_disposition,pending_field,pending_value,closure_source,required_next_gate
G5A-PENDING-0001,G4C-SIM-0001,G3E-EDGE-001,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0002,G4C-SIM-0002,G3E-EDGE-002,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0003,G4C-SIM-0003,G3E-EDGE-003,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0004,G4C-SIM-0004,G3E-EDGE-004,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0005,G4C-SIM-0005,G3E-EDGE-005,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0006,G4C-SIM-0006,G3E-EDGE-006,EDGE,schema_valid_template_only,EXPECTED_RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,RECEIPT_TEMPLATE_ONLY_NOT_EVIDENCE,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0007,G4C-SIM-0007,G3E-EDGE-007,EDGE,review_only,EXPECTED_REVIEW_ONLY_NO_FORMULA,REVIEW_ONLY_NO_FORMULA,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0008,G4C-SIM-0008,G3E-EDGE-008,EDGE,preauth_required,EXPECTED_PREAUTH_REQUIRED_NO_RUN,PREAUTH_REQUIRED_NO_RUN,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0009,G4C-SIM-0009,G3E-EDGE-009,EDGE,reject_blocked,EXPECTED_REJECT_BLOCKED,REJECT_BLOCKED,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
G5A-PENDING-0010,G4C-SIM-0010,G3E-EDGE-010,EDGE,hard_fail_forbidden_auth,EXPECTED_HARD_FAIL_FORBIDDEN_AUTH,HARD_FAIL_FORBIDDEN_AUTH,actual_source,PENDING_NODI_GATE4_ACTUAL,NODI_COMSOL_GATE4C_COMSOL_PROBE_ACTUAL_VS_EXPECTED_20260629.csv,Gate5B_PENDING_CLOSURE
