receipt_id,source_manifest_id,artifact_path,absolute_path,artifact_kind,recorded_sha,actual_sha,recorded_row_count,actual_row_count,receipt_status,policy_impact,auth_impact,evidence_bearing
G9A-RECEIPT-0001,G8J-MANIFEST-001,roadmap/COMSOL_GATE8A_NODI_GATE7_RECEIPT_REGISTER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8A_NODI_GATE7_RECEIPT_REGISTER_20260629.csv,support,add55c046c4e4ef21e68818613399d487f5250ba5a7791c05603d28d49d39d08,add55c046c4e4ef21e68818613399d487f5250ba5a7791c05603d28d49d39d08,45,45,MATCH,none,none,false
G9A-RECEIPT-0002,G8J-MANIFEST-002,roadmap/COMSOL_GATE8A_NODI_GATE7_RECEIPT_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8A_NODI_GATE7_RECEIPT_PACKET_20260629.md,packet_markdown,48a84257858ef8237cebd24d5d1ff54e7747a2227091d4be621c273fd3ca0820,48a84257858ef8237cebd24d5d1ff54e7747a2227091d4be621c273fd3ca0820,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0003,G8J-MANIFEST-003,roadmap/COMSOL_GATE8B_JOINT_FREEZE_HASH_TREE_RECONCILIATION_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8B_JOINT_FREEZE_HASH_TREE_RECONCILIATION_20260629.csv,freeze_artifact,63777615876e50574844f02cbe3e755d557667d1a8a680603d666a7079569910,63777615876e50574844f02cbe3e755d557667d1a8a680603d666a7079569910,21,21,MATCH,none,none,false
G9A-RECEIPT-0004,G8J-MANIFEST-004,roadmap/COMSOL_GATE8B_JOINT_FREEZE_SIGNOFF_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8B_JOINT_FREEZE_SIGNOFF_PACKET_20260629.md,packet_markdown,e74b2d9a28a11a50fe8c8a21520dd76e7e54fb0cdd2d68a5975b743354251665,e74b2d9a28a11a50fe8c8a21520dd76e7e54fb0cdd2d68a5975b743354251665,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0005,G8J-MANIFEST-005,roadmap/COMSOL_GATE8C_PRODUCER_REHEARSAL_BUNDLE_INDEX_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_PRODUCER_REHEARSAL_BUNDLE_INDEX_20260629.csv,support,0d5055c18de6adb824635ccd632b13fd030a6f060ab103fa1d5e656c493bfa98,0d5055c18de6adb824635ccd632b13fd030a6f060ab103fa1d5e656c493bfa98,24,24,MATCH,none,none,false
G9A-RECEIPT-0006,G8J-MANIFEST-006,roadmap/COMSOL_GATE8C_EDGE_ONLY_TEMPLATE_PACKAGE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_EDGE_ONLY_TEMPLATE_PACKAGE_20260629.csv,support,01f93926618f8310c9b4c830d5a9489596c60ccd961b2e2ff3ee95474ac77256,01f93926618f8310c9b4c830d5a9489596c60ccd961b2e2ff3ee95474ac77256,8,8,MATCH,none,none,false
G9A-RECEIPT-0007,G8J-MANIFEST-007,roadmap/COMSOL_GATE8C_QCH_DEFERRED_TEMPLATE_PACKAGE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_QCH_DEFERRED_TEMPLATE_PACKAGE_20260629.csv,support,2c43f6fddaeb676841b3840e80e135f37f37d11f1203ad25d2edef182888e360,2c43f6fddaeb676841b3840e80e135f37f37d11f1203ad25d2edef182888e360,4,4,MATCH,none,none,false
G9A-RECEIPT-0008,G8J-MANIFEST-008,roadmap/COMSOL_GATE8C_BINDING_DEFERRED_TEMPLATE_PACKAGE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_BINDING_DEFERRED_TEMPLATE_PACKAGE_20260629.csv,support,498fba01786e7bdeaf1a9f4adcd65c78262b9e7db069b54902144249f5518560,498fba01786e7bdeaf1a9f4adcd65c78262b9e7db069b54902144249f5518560,4,4,MATCH,none,none,false
G9A-RECEIPT-0009,G8J-MANIFEST-009,roadmap/COMSOL_GATE8C_HARD_FAIL_NEGATIVE_PACKAGES_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_HARD_FAIL_NEGATIVE_PACKAGES_20260629.csv,support,1de86cb63af736e588c5eb2b561faacab998bb77f09b551476855d1842057abd,1de86cb63af736e588c5eb2b561faacab998bb77f09b551476855d1842057abd,8,8,MATCH,none,none,false
G9A-RECEIPT-0010,G8J-MANIFEST-010,roadmap/COMSOL_GATE8C_PRODUCER_REHEARSAL_BUNDLE_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8C_PRODUCER_REHEARSAL_BUNDLE_PACKET_20260629.md,packet_markdown,6e4eb87312f946c289ef331184e37cde2cf5babba549415ae67b6f3796746e9e,6e4eb87312f946c289ef331184e37cde2cf5babba549415ae67b6f3796746e9e,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0011,G8J-MANIFEST-011,roadmap/COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_20260629.csv,decision_dossier,c1a3a6c179e3282b792b8c1ba6365dd9dcb2902628049ba1d2ea3e398f1c3950,c1a3a6c179e3282b792b8c1ba6365dd9dcb2902628049ba1d2ea3e398f1c3950,1,1,MATCH,none,none,false
G9A-RECEIPT-0012,G8J-MANIFEST-012,roadmap/COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_20260629.json,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_20260629.json,decision_dossier,fef610ca45138ab32a40b6afacfee5c4252f8bd1e47bb8a4bd5078ac5f70f38f,fef610ca45138ab32a40b6afacfee5c4252f8bd1e47bb8a4bd5078ac5f70f38f,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0013,G8J-MANIFEST-013,roadmap/COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8D_EDGE_ONLY_PILOT_PREAUTH_DOSSIER_PACKET_20260629.md,packet_markdown,8bff8ede617960a0fcab9eac89ec6d1740e218d17872e7d7504b8bfa986aede5,8bff8ede617960a0fcab9eac89ec6d1740e218d17872e7d7504b8bfa986aede5,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0014,G8J-MANIFEST-014,roadmap/COMSOL_GATE8E_QCH_DEFERRAL_DOSSIER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8E_QCH_DEFERRAL_DOSSIER_20260629.csv,decision_dossier,8407a3eb5abd6035a1d3a98156497b3fdfd9113f696286315f5ed265a3c6e1fa,8407a3eb5abd6035a1d3a98156497b3fdfd9113f696286315f5ed265a3c6e1fa,1,1,MATCH,none,none,false
G9A-RECEIPT-0015,G8J-MANIFEST-015,roadmap/COMSOL_GATE8E_BINDING_DEFERRAL_DOSSIER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8E_BINDING_DEFERRAL_DOSSIER_20260629.csv,decision_dossier,aaeb6e41a8fb317fd16836dfb3aaa13101e97ed2f6ac688fb862084794c6c130,aaeb6e41a8fb317fd16836dfb3aaa13101e97ed2f6ac688fb862084794c6c130,1,1,MATCH,none,none,false
G9A-RECEIPT-0016,G8J-MANIFEST-016,roadmap/COMSOL_GATE8E_QCH_BINDING_DEFERRAL_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8E_QCH_BINDING_DEFERRAL_PACKET_20260629.md,packet_markdown,d60c163e447e31320364724e3f9c03fba429b2748e2c8bda6b68befafa33308d,d60c163e447e31320364724e3f9c03fba429b2748e2c8bda6b68befafa33308d,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0017,G8J-MANIFEST-017,roadmap/COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_CORPUS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_CORPUS_20260629.csv,fixture_or_isolation,14b4799cac831be0082f242849879efe2013a7a095ec0d0514f4fa554f041013,14b4799cac831be0082f242849879efe2013a7a095ec0d0514f4fa554f041013,1800,1800,MATCH,none,none,false
G9A-RECEIPT-0018,G8J-MANIFEST-018,roadmap/COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_MATRIX_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_MATRIX_20260629.csv,fixture_or_isolation,b4a608b7812f02ca285f0e142538d0b904b6ef38b7e9d2c0d79dca3fca73e850,b4a608b7812f02ca285f0e142538d0b904b6ef38b7e9d2c0d79dca3fca73e850,8,8,MATCH,none,none,false
G9A-RECEIPT-0019,G8J-MANIFEST-019,roadmap/COMSOL_GATE8F_UNEXPECTED_PASS_REGISTER_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8F_UNEXPECTED_PASS_REGISTER_20260629.csv,support,08d615eac5a37389d0b8aad360dbdbe5ac50db330d9ee943f2292423b5cf710c,08d615eac5a37389d0b8aad360dbdbe5ac50db330d9ee943f2292423b5cf710c,1,1,MATCH,none,none,false
G9A-RECEIPT-0020,G8J-MANIFEST-020,roadmap/COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_PACKET_20260629.md,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8F_CROSS_WORKSTREAM_ISOLATION_PACKET_20260629.md,packet_markdown,d1fb0e154e3e826428a43d9023d1eb34d0820056d4b0738ec9a0282ee70a8f4e,d1fb0e154e3e826428a43d9023d1eb34d0820056d4b0738ec9a0282ee70a8f4e,NA,NA,MATCH,none,none,false
G9A-RECEIPT-0021,G8J-MANIFEST-021,roadmap/COMSOL_GATE8G_PREFLIGHT_V2_CLI_USAGE_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8G_PREFLIGHT_V2_CLI_USAGE_20260629.csv,support,dc3e991895cb5206d4b4b32b86e133e6178882245664ba9ab77130e6ba050611,dc3e991895cb5206d4b4b32b86e133e6178882245664ba9ab77130e6ba050611,1,1,MATCH,none,none,false
G9A-RECEIPT-0022,G8J-MANIFEST-022,roadmap/COMSOL_GATE8G_PREFLIGHT_V2_RULE_CATALOG_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8G_PREFLIGHT_V2_RULE_CATALOG_20260629.csv,support,f0c48f26cc6bf65e9f8e457e27e291404b3e4263ddac081f0a5b5ff5971ada21,f0c48f26cc6bf65e9f8e457e27e291404b3e4263ddac081f0a5b5ff5971ada21,9,9,MATCH,none,none,false
G9A-RECEIPT-0023,G8J-MANIFEST-023,roadmap/COMSOL_GATE8G_PREFLIGHT_V2_SAMPLE_RESULTS_20260629.csv,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\roadmap\COMSOL_GATE8G_PREFLIGHT_V2_SAMPLE_RESULTS_20260629.csv,support,42118e7276d8cd99b325a8f2619bf8b623b3fb786ef59c93e210c0a13713c4ea,42118e7276d8cd99b325a8f2619bf8b623b3fb786ef59c93e210c0a13713c4ea,2,2,MATCH,none,none,false
