roundtrip_id,comsol_dependency_id,owner_ledger_id,workstream,producer_owner,receiver_owner,nodi_handoff_id,authorization_dependency,current_action_allowed,future_authorization_required,roundtrip_status
G5E-OWNER-0001,G4E-XAUTH-001,G4E-EDGE-001,EDGE,COMSOL,NODI,G4D-HANDOFF-0001,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0002,G4E-XAUTH-002,G4E-EDGE-002,EDGE,COMSOL,NODI,G4D-HANDOFF-0002,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0003,G4E-XAUTH-003,G4E-EDGE-003,EDGE,COMSOL,NODI,G4D-HANDOFF-0003,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0004,G4E-XAUTH-004,G4E-EDGE-004,EDGE,COMSOL,NODI,G4D-HANDOFF-0004,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0005,G4E-XAUTH-005,G4E-EDGE-005,EDGE,COMSOL,NODI,G4D-HANDOFF-0005,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0006,G4E-XAUTH-006,G4E-EDGE-006,EDGE,COMSOL,NODI,G4D-HANDOFF-0006,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0007,G4E-XAUTH-007,G4E-EDGE-007,EDGE,COMSOL,NODI,G4D-HANDOFF-0007,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0008,G4E-XAUTH-008,G4E-EDGE-008,EDGE,COMSOL,NODI,G4D-HANDOFF-0008,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0009,G4E-XAUTH-009,G4E-EDGE-009,EDGE,COMSOL,NODI,G4D-HANDOFF-0009,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0010,G4E-XAUTH-010,G4E-EDGE-010,EDGE,COMSOL,NODI,G4D-HANDOFF-0010,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0011,G4E-XAUTH-011,G4E-EDGE-011,EDGE,COMSOL,NODI,G4D-HANDOFF-0011,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0012,G4E-XAUTH-012,G4E-EDGE-012,EDGE,COMSOL,NODI,G4D-HANDOFF-0012,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0013,G4E-XAUTH-013,G4E-QCH-001,QCH,COMSOL,NODI,G4D-HANDOFF-0013,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0014,G4E-XAUTH-014,G4E-QCH-002,QCH,COMSOL,NODI,G4D-HANDOFF-0014,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0015,G4E-XAUTH-015,G4E-QCH-003,QCH,COMSOL,NODI,G4D-HANDOFF-0015,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0016,G4E-XAUTH-016,G4E-QCH-004,QCH,COMSOL,NODI,G4D-HANDOFF-0016,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0017,G4E-XAUTH-017,G4E-QCH-005,QCH,COMSOL,NODI,G4D-HANDOFF-0017,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0018,G4E-XAUTH-018,G4E-QCH-006,QCH,COMSOL,NODI,G4D-HANDOFF-0018,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0019,G4E-XAUTH-019,G4E-QCH-007,QCH,COMSOL,NODI,G4D-HANDOFF-0019,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0020,G4E-XAUTH-020,G4E-QCH-008,QCH,COMSOL,NODI,G4D-HANDOFF-0020,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
G5E-OWNER-0021,G4E-XAUTH-021,G4E-QCH-009,QCH,COMSOL,NODI,G4D-HANDOFF-0021,future explicit user authorization plus NODI receiver preauth board,false,true,PASS_FAIL_CLOSED
