field_id,release_candidate,field_name,source_gate11_requiredness,release_requiredness,review_only,runtime_schema,production_contract,evidence_authorization,allowed_use,blocked_use
G12B-RC-FIELD-001,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,geometry_descriptor_id,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-002,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,geometry_descriptor_sha256,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-003,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,source_geometry_descriptor_id,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-004,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,source_geometry_descriptor_sha,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-005,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,sidewall_angle_convention,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-006,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,sidewall_deg_comsol,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-007,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,sidewall_taper_angle_deg_nodi,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-008,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,angle_conversion_formula_id,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-009,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,W_top_nm,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
G12B-RC-FIELD-010,RC5.1_SIDEWALL_GEOMETRY_DESCRIPTOR_ADDENDUM_V1_RELEASE_CANDIDATE_REVIEW_ONLY_NO_AUTH,D_nm,required_for_sidewall_aware_rows,required_for_sidewall_aware_rows,true,false,false,false,review-only sidewall addendum release-candidate;descriptor receipt dry-run;quarantine ledger;schema validation;future user decision support,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS/JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;measured geometry claim;formula use;direct PRS bin;grain-level ingestion;accepted row expansion
