node_receipt_id,node_id,path,workstream,would_require_mph_load,current_execution_allowed,future_authorization_required,receipt_status
G4E-NODE-0001,G3C-NODE-0001,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_QA_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0002,G3C-NODE-0002,roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0003,G3C-NODE-0003,roadmap/NODI_PRS_EAS_SMOKE_CASE_MANIFEST_20260617.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0004,G3C-NODE-0004,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0005,G3C-NODE-0005,roadmap/NODI_PRS_INGESTION_DECISION_GATES_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0006,G3C-NODE-0006,roadmap/NODI_PRS_INGESTION_DECISION_PACKET_20260621.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0007,G3C-NODE-0007,roadmap/TPD_PRS_CHI_CONTEXT_FORMULA_GATES_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0008,G3C-NODE-0008,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_GATES_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0009,G3C-NODE-0009,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_PACKET_20260622.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0010,G3C-NODE-0010,roadmap/TPD_PRS_DUAL_WEIGHTING_NEXT_GATES_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0011,G3C-NODE-0011,roadmap/NODI_PRS_W800_MINIBATCH_AUTH_CASES_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0012,G3C-NODE-0012,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_GATES_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0013,G3C-NODE-0013,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_PACKET_20260621.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0014,G3C-NODE-0014,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0015,G3C-NODE-0015,roadmap/COMSOL_GATE2A_NODI_BINDING_BLOCKERS_20260627.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0016,G3C-NODE-0016,roadmap/COMSOL_GATE2A_NODI_BINDING_MANIFEST_20260627.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0017,G3C-NODE-0017,roadmap/COMSOL_GATE2A_NODI_BINDING_CROSSWALK_20260627.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0018,G3C-NODE-0018,roadmap/FUTURE_NODI_PRS_EAS_ALIGNMENT_SCHEMA_20260617.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0019,G3C-NODE-0019,roadmap/NODI_PRS_ARTIFACT_AVAILABILITY_AUDIT_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0020,G3C-NODE-0020,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_GATES_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0021,G3C-NODE-0021,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_PACKET_20260622.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0022,G3C-NODE-0022,roadmap/NODI_PRS_INGESTION_DECISION_MANIFEST_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0023,G3C-NODE-0023,roadmap/NODI_PRS_W800_MINIBATCH_OPTION_TABLE_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0024,G3C-NODE-0024,roadmap/ROUGH_MESH_ONLY_PROBE_OPTION_BINDING_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0025,G3C-NODE-0025,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_MANIFEST_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0026,G3C-NODE-0026,roadmap/TPD_PRS_DUAL_WEIGHTING_CONTEXT_PAIRS_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0027,G3C-NODE-0027,roadmap/COMSOL_GATE2AA_BINDING_CLOSURE_TRIALS_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0028,G3C-NODE-0028,roadmap/COMSOL_GATE2A_NODI_BINDING_VALIDATION_20260627.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0029,G3C-NODE-0029,roadmap/COMSOL_GATE2B_TPD_BINDING_REPAIR_PLAN_20260627.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0030,G3C-NODE-0030,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_ERRATA_20260628.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0031,G3C-NODE-0031,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0032,G3C-NODE-0032,roadmap/TPD_PRS_DUAL_WEIGHTING_CONTEXT_POLICY_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0033,G3C-NODE-0033,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_MANIFEST_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0034,G3C-NODE-0034,roadmap/COMSOL_GATE2E_TPD_BINDING_REPAIR_PACKET_20260628.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0035,G3C-NODE-0035,roadmap/NODI_PRS_EAS_SMOKE_AUTHORIZATION_PACKET_20260617.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0036,G3C-NODE-0036,roadmap/NODI_PRS_V1_1_RESPONSE_EXTENSION_REVIEW_20260621.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0037,G3C-NODE-0037,roadmap/STAGE119_SURFACE_STATE_BINDING_CONTRACT_20260619.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0038,G3C-NODE-0038,roadmap/TPD_PRS_CHI_CONTEXT_FORMULA_CANDIDATES_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0039,G3C-NODE-0039,roadmap/TPD_PRS_CHI_CONTEXT_FORMULA_VALIDATION_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0040,G3C-NODE-0040,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_VALIDATION_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0041,G3C-NODE-0041,roadmap/COMSOL_GATE2L_BINDING_NEGATIVE_FIXTURES_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0042,G3C-NODE-0042,roadmap/COMSOL_GATE2Q_BINDING_REPAIR_WORK_ORDER_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0043,G3C-NODE-0043,roadmap/COMSOL_GATE2X_BINDING_FAIL_CLOSED_AUDIT_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0044,G3C-NODE-0044,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_MANIFEST_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0045,G3C-NODE-0045,roadmap/NODI_PRS_EAS_SMOKE_ACCEPTANCE_CHECKLIST_20260617.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0046,G3C-NODE-0046,roadmap/TPD_PRS_DUAL_WEIGHTING_CONTEXT_MANIFEST_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0047,G3C-NODE-0047,roadmap/COMSOL_GATE2AE_BINDING_FAIL_CLOSED_AUDIT_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0048,G3C-NODE-0048,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MANIFEST_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0049,G3C-NODE-0049,roadmap/COMSOL_GATE2L_BINDING_REPAIR_TEMPLATE_V2_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0050,G3C-NODE-0050,roadmap/COMSOL_GATE2Z_BINDING_CANDIDATE_DOSSIERS_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0051,G3C-NODE-0051,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_ARTIFACTS_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0052,G3C-NODE-0052,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_READINESS_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0053,G3C-NODE-0053,roadmap/TPD_PRS_CHI_CONTEXT_FORMULA_REVIEW_PACKET_20260622.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0054,G3C-NODE-0054,roadmap/TPD_PRS_METRIC_SELECTION_PREFLIGHT_PACKET_20260622.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0055,G3C-NODE-0055,roadmap/TRANSPORTED_POSITION_SOURCE_RUNNER_CASES_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0056,G3C-NODE-0056,roadmap/TRANSPORTED_POSITION_SOURCE_RUNNER_QUEUE_20260621.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0057,G3C-NODE-0057,roadmap/NODI_PRS_EAS_CONTEXT_INGESTION_VALIDATION_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0058,G3C-NODE-0058,roadmap/NODI_PRS_W800_MINIBATCH_EXTERNAL_AI_PROMPT_20260621.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0059,G3C-NODE-0059,roadmap/TPD_PRS_DUAL_WEIGHTING_CONTEXT_VALIDATION_20260622.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0060,G3C-NODE-0060,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_VALIDATION_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0061,G3C-NODE-0061,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0062,G3C-NODE-0062,roadmap/NODI_LOCAL_MIRROR_AND_PRS_V1_1_CODE_UPGRADE_20260621.md,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0063,G3C-NODE-0063,roadmap/TRANSPORTED_POSITION_CHI_SELECTED_CONTRACT_20260617.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0064,G3C-NODE-0064,roadmap/TRANSPORTED_POSITION_DISTRIBUTION_TEMPLATE_20260617.csv,BINDING,false,false,false,METADATA_ONLY
G4E-NODE-0065,G3C-NODE-0065,roadmap/COMSOL_GATE2AC_BINDING_PRE_AUTH_NO_RUN_SPEC_20260628.csv,BINDING,false,false,false,METADATA_ONLY
